largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
2	2	1	3	2	2	156	162	0	0	1	4	0
2	1	1	2	2	2	158	155	0	0	1	7	0
2	1	1	2	2	2	158	161	0	0	1	5	0
2	1	1	2	2	1	158	169	0	0	1	1	0
3	1	1	2	2	2	157	163	1	0	1	4	0
2	1	1	2	1	1	158	171	0	0	1	1	0
2	2	1	3	2	2	156	166	0	0	1	2	0
2	1	1	2	2	2	158	159	0	0	1	6	0
2	1	1	2	2	2	158	167	0	0	1	2	0
2	1	1	3	2	2	158	158	0	0	1	6	0
2	2	1	3	2	2	156	166	0	0	1	2	0
2	1	1	3	2	2	158	166	0	0	0	2	0
2	1	1	2	2	1	158	169	0	0	0	1	0
2	1	1	2	2	2	158	161	0	0	1	3	0
2	1	1	3	2	2	158	160	0	0	1	7	1
2	1	1	2	2	2	158	161	0	0	1	6	0
2	1	1	2	2	2	158	167	0	0	1	3	0
2	1	1	2	1	1	158	171	0	0	1	1	0
2	1	1	2	2	2	158	163	0	0	1	5	0
2	1	1	3	2	1	158	168	0	0	0	2	1
2	1	1	2	1	1	158	171	0	0	1	1	0
2	1	1	2	2	2	158	159	0	0	1	5	0
2	1	1	2	2	2	158	165	0	0	1	3	0
2	1	1	3	2	2	158	158	0	0	1	5	0
2	1	1	2	2	2	158	165	0	0	1	3	0
2	1	1	2	1	1	158	171	0	0	1	1	0
2	1	1	2	2	1	158	169	0	0	0	1	0
2	1	1	3	2	2	158	160	0	0	1	4	1
2	1	1	2	2	2	158	157	0	0	1	7	0
2	1	1	2	2	2	158	159	0	0	1	5	0
3	1	1	2	2	2	157	167	0	0	0	2	0
2	1	1	2	2	2	158	161	0	0	1	4	0
2	1	1	2	2	1	158	169	0	0	0	2	0
2	1	1	2	2	1	158	169	0	0	0	1	0
3	1	1	3	2	2	157	150	0	0	0	8	0
2	1	1	3	2	2	158	158	0	0	1	7	0
2	1	1	3	2	2	158	160	0	0	1	6	0
2	1	1	3	2	2	158	164	0	0	0	4	0
2	1	1	2	2	1	158	169	0	0	0	2	0
2	1	1	2	2	2	158	167	0	0	1	3	0
2	1	1	3	2	2	158	162	0	0	0	1	0
2	2	1	3	2	2	156	164	0	0	1	2	0
3	1	1	2	2	2	157	165	0	0	1	4	0
2	1	1	3	2	2	158	164	0	0	0	2	0
2	1	1	2	2	1	158	169	0	0	1	2	0
2	1	1	3	2	2	158	164	0	1	1	2	0
2	1	1	3	2	2	158	162	0	0	0	4	0
2	2	1	3	2	1	156	168	1	0	1	1	0
2	1	1	2	2	2	158	161	0	0	1	4	0
2	1	1	2	2	2	158	165	0	0	1	2	0
2	1	1	2	2	2	158	157	0	0	1	6	0
2	1	1	2	2	2	158	163	0	0	1	3	0
2	1	1	2	2	2	158	155	0	0	1	6	0
2	2	1	2	2	1	156	169	0	0	1	1	0
2	1	1	2	2	1	158	169	0	0	1	1	0
3	2	1	2	2	1	155	169	0	0	1	1	0
2	1	1	2	2	2	158	163	0	0	1	3	0
2	1	1	2	2	1	158	169	0	0	1	1	0
2	1	1	3	2	2	158	160	0	0	1	7	1
2	2	1	2	2	1	156	169	0	0	1	1	0
2	1	1	2	2	2	158	167	0	0	1	1	0
3	1	1	3	2	2	157	164	0	0	1	2	0
2	1	1	2	2	2	158	167	0	0	1	2	0
2	1	1	3	2	2	158	156	0	0	1	5	0
2	1	1	2	2	2	158	161	0	0	1	5	0
2	2	1	3	2	2	156	160	0	0	1	4	0
2	1	1	3	2	2	158	164	0	0	0	4	0
2	1	1	3	2	2	158	160	0	0	1	6	1
2	1	1	2	2	2	158	159	0	0	1	4	0
2	1	1	3	2	2	158	160	0	0	1	5	0
2	2	1	3	2	2	156	162	0	0	1	0	0
2	1	1	2	2	2	158	161	0	0	1	2	0
2	1	1	2	2	2	158	165	0	0	1	2	0
2	1	1	2	2	2	158	157	0	0	1	7	0
2	1	1	2	2	1	158	169	0	0	1	1	0
2	1	1	2	2	2	158	165	0	0	1	3	0
2	1	1	3	2	2	158	166	0	1	1	1	0
2	2	1	2	2	1	156	169	0	0	1	2	0
2	2	1	2	2	1	156	169	0	0	1	1	0
2	1	1	2	2	2	158	161	0	0	1	4	0
2	1	1	2	2	1	158	169	0	0	1	1	0
3	1	1	3	2	2	157	160	0	0	1	6	0
2	1	1	2	2	2	158	157	0	0	1	6	0
2	1	1	2	2	1	158	169	0	0	1	1	0
2	1	1	2	2	2	158	157	0	0	1	7	0
2	1	1	2	2	2	158	157	0	0	1	7	0
2	1	1	2	2	2	158	163	0	0	1	3	0
2	1	1	3	2	2	158	162	0	0	1	5	0
2	1	1	2	2	1	158	169	0	0	1	1	0
2	1	1	2	2	2	158	165	0	0	1	4	0
3	2	1	3	2	2	155	162	0	0	1	4	0
2	1	1	2	2	2	158	159	0	0	1	4	0
2	1	1	2	2	2	158	163	0	0	1	5	0
2	2	1	2	2	1	156	169	0	0	1	0	0
2	1	1	2	2	2	158	161	0	0	1	4	0
2	1	1	2	1	1	158	171	0	0	1	1	0
2	1	1	2	2	2	158	167	0	0	1	2	0
