largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
7	3	3	10	4	4	117	105	12	14	1	5	2
5	3	3	10	5	2	129	112	8	11	0	4	2
9	5	2	13	5	2	124	111	13	13	0	4	2
5	2	2	8	2	2	131	121	3	7	1	2	1
9	2	2	13	3	2	115	109	12	11	1	5	3
4	2	2	5	4	3	122	107	8	10	1	5	1
4	2	1	9	2	2	134	112	3	11	0	2	0
3	2	2	5	3	3	131	114	3	8	0	2	1
5	3	2	5	4	2	130	110	6	9	1	5	2
3	2	2	9	2	1	133	122	3	7	1	2	1
5	2	1	5	5	5	133	108	4	13	1	3	1
8	2	2	13	2	2	128	112	7	11	1	4	2
5	3	2	7	2	2	128	114	6	9	1	1	1
4	2	2	6	3	2	132	114	4	8	0	4	1
10	2	2	10	2	2	122	115	9	11	2	2	0
2	2	2	8	2	2	134	121	2	7	0	2	1
3	3	2	9	3	2	128	113	5	8	0	2	1
4	4	2	8	3	2	118	102	6	8	2	9	4
3	3	2	7	4	2	132	110	4	7	0	5	1
8	2	2	11	2	2	126	110	6	7	1	7	3
3	2	2	8	3	2	121	112	6	8	2	4	1
4	3	2	7	3	3	125	108	7	12	1	3	1
3	2	2	3	3	2	129	111	4	10	1	0	0
7	2	2	10	2	2	127	103	8	9	0	10	4
2	2	2	8	3	2	128	116	2	9	1	0	0
3	2	2	6	3	2	123	110	3	9	3	5	1
6	3	2	12	2	2	121	111	8	9	0	4	4
11	2	2	15	2	2	123	112	11	11	1	6	4
2	2	2	7	2	2	124	114	2	8	4	4	0
6	2	2	8	3	2	124	108	8	11	0	4	1
2	1	1	9	3	2	138	109	0	7	1	8	2
2	2	2	6	3	3	128	113	3	8	1	4	2
6	5	2	12	3	2	123	104	11	11	1	9	3
6	2	2	9	2	2	126	114	5	9	4	3	2
6	2	2	10	2	2	124	119	8	10	1	0	0
2	2	2	12	2	2	132	97	2	6	1	12	5
5	2	1	12	2	1	133	119	2	9	0	3	3
8	2	2	11	3	3	128	109	8	8	0	7	1
7	2	1	12	2	2	131	113	6	9	0	4	3
14	3	2	17	4	3	119	107	12	15	5	6	5
2	2	2	6	6	3	132	104	2	9	1	8	2
5	3	2	12	2	2	126	117	7	7	0	4	3
2	2	2	6	3	2	132	116	3	9	1	2	1
7	2	1	10	2	1	131	121	5	9	1	1	1
10	3	2	10	2	2	123	115	8	11	4	0	0
11	4	2	12	3	2	117	106	14	14	2	3	2
4	2	2	10	3	2	130	114	6	8	0	3	3
4	2	1	7	6	2	134	118	4	9	0	2	1
8	2	1	8	2	2	130	117	7	9	1	2	1
7	2	2	9	2	2	125	118	7	9	2	2	2
6	1	1	13	2	2	134	112	5	6	0	8	6
2	1	1	8	2	2	138	115	1	7	0	4	2
8	3	2	12	2	2	127	105	10	10	0	6	4
