largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
51	3	3	61	3	3	98	53	64	31	2	39	31
19	10	8	30	7	5	119	71	40	24	1	29	17
106	7	3	80	7	2	54	49	116	60	2	28	23
105	5	4	93	2	2	57	33	113	56	0	41	35
90	8	8	79	9	4	66	38	104	68	2	26	23
73	8	7	55	3	3	84	55	87	39	2	32	22
121	24	2	113	11	2	30	14	142	89	3	33	29
44	10	7	41	7	5	108	48	63	27	1	43	20
109	2	1	97	2	2	68	33	107	69	2	33	27
112	14	6	100	5	4	44	27	130	65	0	40	33
88	9	4	69	9	4	69	44	100	50	3	34	22
47	3	3	46	6	4	113	52	54	29	2	41	21
60	9	4	49	7	5	94	53	75	35	1	39	23
114	4	4	87	3	3	53	33	117	69	3	28	22
116	2	2	79	5	3	53	37	117	47	1	44	31
30	20	8	33	12	11	99	67	67	35	2	30	15
101	4	3	79	3	3	63	47	106	45	3	40	32
105	6	3	80	7	4	59	35	111	59	3	36	26
30	14	8	34	11	9	106	56	63	35	1	34	15
77	9	3	67	12	3	85	50	87	47	2	35	25
74	5	5	67	5	3	84	46	86	52	1	28	19
46	26	2	54	27	3	103	50	69	50	2	33	21
101	3	2	77	8	3	67	36	101	51	2	39	28
85	4	3	60	5	5	77	55	93	39	2	35	21
124	15	6	110	6	5	25	19	146	88	1	30	27
85	4	3	92	3	3	71	38	93	68	3	28	23
53	14	5	42	15	6	92	51	76	38	1	37	20
33	4	2	51	3	3	126	59	41	29	2	37	24
60	7	3	51	4	3	95	62	69	36	3	30	22
97	6	2	79	3	2	68	50	103	53	2	32	28
79	6	3	68	5	2	85	47	85	43	2	35	25
48	14	9	46	7	6	98	65	72	34	0	30	18
90	8	3	77	5	4	69	45	100	55	3	34	24
68	9	2	43	5	4	90	67	77	22	3	37	25
94	3	2	79	2	2	74	51	95	51	3	33	28
74	5	4	57	4	4	92	51	81	40	1	34	19
129	4	2	97	3	2	42	30	131	64	2	40	35
105	7	4	82	3	2	57	45	116	60	1	29	26
55	24	22	47	21	13	42	23	122	72	2	31	16
32	8	7	37	5	5	99	61	62	25	1	36	20
76	10	3	53	11	8	81	44	91	50	0	32	18
83	6	5	63	6	3	68	52	99	47	2	30	20
124	20	6	106	13	7	21	14	153	80	0	42	36
72	14	5	66	14	7	70	31	96	56	2	40	23
89	14	13	92	6	5	39	26	129	84	2	23	20
63	5	3	67	8	3	96	54	70	42	2	37	25
70	2	2	65	3	2	105	62	71	44	0	28	22
29	27	13	40	11	8	63	42	98	51	0	31	14
88	12	6	64	10	3	43	55	116	48	5	31	29
78	12	7	62	7	6	59	33	107	62	0	32	16
81	23	13	75	18	5	38	21	125	78	2	30	19
118	8	7	91	6	4	36	26	133	72	2	34	25
41	22	10	42	18	6	70	39	95	48	0	35	16
80	2	2	63	4	3	89	59	82	36	2	35	27
47	9	4	56	3	2	106	61	64	35	1	33	22
36	18	4	47	8	4	96	59	67	40	3	25	17
92	2	2	69	3	3	81	56	92	43	1	31	22
106	5	4	86	9	3	58	38	112	63	2	35	31
105	18	10	79	14	5	29	30	137	79	6	23	16
99	2	2	88	3	2	74	47	100	54	1	36	32
114	13	3	92	9	4	45	25	127	75	1	31	20
114	6	5	99	6	5	49	26	124	72	1	37	32
63	23	5	59	12	6	70	40	95	46	3	41	31
80	5	4	64	11	4	72	36	95	47	0	42	24
92	15	10	77	9	6	52	35	120	77	0	20	17
85	7	7	61	7	5	56	45	110	65	1	18	16
93	13	11	69	15	8	42	31	125	68	1	29	19
56	6	5	69	3	2	94	56	73	50	2	25	20
81	3	3	64	3	2	82	59	87	43	2	27	21
47	5	3	46	3	3	108	68	59	24	1	33	21
127	9	4	98	8	4	36	25	136	82	2	27	22
84	34	2	72	26	6	51	28	119	68	0	38	26
87	9	3	81	5	4	70	34	96	57	4	39	32
91	3	2	82	4	2	81	50	90	61	3	26	24
78	9	5	54	7	4	81	58	91	36	1	34	21
111	20	2	95	11	3	46	27	128	78	2	30	24
71	6	6	55	5	3	81	61	84	39	5	30	20
80	4	4	77	3	3	74	49	93	56	2	28	23
113	15	3	88	14	3	42	23	130	76	0	33	25
91	9	5	81	6	4	63	41	106	55	0	38	28
68	18	11	52	13	8	56	36	114	61	0	30	19
114	17	13	94	10	7	25	27	146	87	1	22	20
107	4	3	97	5	3	55	27	110	77	5	28	23
85	12	3	53	16	4	62	48	103	49	3	29	20
53	15	10	49	7	7	86	61	83	44	1	25	15
77	19	17	57	14	6	58	51	114	57	1	23	15
61	8	5	55	6	3	82	54	77	40	4	35	21
50	13	4	47	13	4	93	47	74	40	1	36	20
66	9	8	57	8	7	78	35	88	41	0	46	26
55	15	9	45	21	2	79	62	86	36	3	31	17
41	14	10	50	11	10	97	45	70	46	3	33	15
74	8	8	71	5	3	68	46	100	59	1	23	16
81	16	15	68	16	15	55	28	114	76	2	28	21
81	5	5	84	5	3	77	40	92	70	1	24	18
61	7	3	58	6	3	95	53	73	44	1	31	20
74	6	5	50	21	8	84	46	86	36	1	47	19
50	19	13	32	14	10	79	48	90	49	1	29	14
102	25	10	98	16	6	36	20	134	98	2	19	17
67	7	7	44	4	3	72	52	94	31	1	37	17
71	6	4	58	8	5	92	51	79	30	2	46	31
89	10	5	77	8	5	59	33	108	64	2	34	23
92	10	4	83	4	4	59	35	110	66	0	31	21
116	5	3	86	3	2	43	43	125	64	3	26	24
81	20	3	64	11	5	67	35	102	54	2	35	20
126	2	2	105	2	2	47	29	125	70	2	36	33
132	6	5	105	5	3	30	19	140	72	3	41	34
137	7	4	107	2	2	29	25	140	71	5	38	35
87	18	11	66	17	10	50	29	119	74	1	30	17
78	26	6	79	17	4	54	28	109	77	4	25	21
82	27	7	60	26	7	49	32	119	66	2	29	17
85	39	7	75	20	5	33	35	133	67	5	32	21
86	5	5	64	5	3	70	53	97	45	3	30	21
74	6	6	66	9	4	74	39	93	53	2	34	20
77	10	5	57	10	5	77	48	92	50	3	31	19
110	2	2	94	3	2	63	39	107	65	4	31	29
72	3	3	58	4	3	101	61	75	33	0	36	24
138	14	7	106	12	5	18	14	154	98	3	25	22
63	9	5	59	7	4	68	52	90	54	4	23	19
41	32	3	48	12	4	86	53	81	42	1	32	19
94	9	2	68	4	3	66	43	106	45	0	39	30
68	7	7	60	5	3	82	56	90	48	0	25	17
76	10	3	58	3	3	82	50	87	25	3	48	32
58	25	6	67	11	3	79	49	92	52	1	30	22
101	10	4	80	18	5	53	23	117	73	1	34	22
137	4	4	92	9	5	24	23	147	61	1	47	37
67	3	2	53	4	3	99	64	72	28	0	37	22
81	15	14	68	15	10	42	29	126	81	1	25	15
53	7	5	45	8	3	90	52	68	24	4	43	23
58	9	4	50	6	3	78	46	78	35	3	37	19
89	5	3	81	5	4	74	38	95	54	1	39	20
66	3	3	68	4	3	96	52	74	45	1	34	25
48	41	9	49	40	6	62	38	103	51	3	45	23
75	27	5	66	13	4	60	40	106	55	4	35	21
100	6	3	90	5	2	66	33	101	53	5	45	40
69	19	6	54	18	5	68	50	99	49	1	32	20
131	10	2	101	3	3	36	31	138	76	2	30	26
26	16	10	32	14	13	106	57	60	36	0	35	14
105	16	3	89	20	3	53	26	122	86	0	25	22
24	23	7	37	15	3	101	54	65	34	0	35	18
42	29	7	45	28	12	63	36	99	48	1	40	21
48	11	6	42	7	5	107	60	65	26	1	41	21
52	15	12	52	15	5	88	51	80	44	2	33	20
94	12	6	72	5	5	52	39	115	62	1	29	20
89	5	2	74	2	2	83	54	90	33	3	44	39
69	24	2	70	12	6	72	48	97	53	1	34	26
71	12	9	59	13	11	61	36	105	68	3	26	16
43	11	6	60	6	3	108	61	63	47	0	24	20
65	15	8	53	7	5	83	60	87	51	1	21	15
64	7	5	65	14	3	88	41	78	45	2	42	30
83	3	3	66	8	5	78	42	90	55	1	32	20
40	13	6	41	11	7	81	43	75	43	1	32	15
98	7	6	66	7	4	56	47	112	55	4	27	20
39	10	7	40	7	6	87	58	75	33	1	33	16
66	13	11	61	5	4	81	56	90	49	2	25	17
75	11	11	67	6	3	60	46	106	50	2	33	25
36	9	5	42	10	4	107	68	56	38	1	24	18
84	3	3	57	5	4	74	49	91	38	1	37	22
100	11	9	81	15	7	48	26	122	85	1	23	20
49	8	6	51	6	6	85	45	79	46	1	32	19
128	3	1	98	3	3	48	28	125	66	4	40	34
84	14	13	65	19	9	56	37	113	63	2	30	13
43	12	8	53	7	3	89	56	72	48	5	25	16
79	21	9	63	14	9	49	40	121	66	0	28	20
118	5	2	99	5	3	50	28	123	78	0	30	28
86	8	4	70	6	4	60	46	103	56	3	31	21
40	13	6	41	11	7	81	43	75	43	1	32	15
98	7	6	66	7	4	56	47	112	55	4	27	20
39	10	7	40	7	6	87	58	75	33	1	33	16
39	17	9	26	19	9	97	55	70	32	1	37	15
75	8	7	49	9	5	79	51	86	39	6	32	20
69	8	4	60	6	5	85	56	83	49	2	26	17
128	3	3	99	2	2	39	37	132	62	1	37	35
127	7	4	88	4	3	37	31	136	68	1	32	23
94	32	5	67	21	4	39	38	131	64	1	32	22
122	19	2	96	12	2	34	26	139	79	2	30	25
110	28	4	88	15	6	33	22	140	74	1	37	25
48	5	5	46	7	6	88	69	70	28	3	31	17
87	11	4	78	7	3	72	50	101	59	1	28	24
109	2	2	97	3	2	62	36	111	63	0	33	29
59	4	3	57	9	5	109	46	63	42	2	38	21
61	8	4	47	7	6	90	61	74	37	3	30	20
