largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
41	3	2	137	5	3	14	16	43	104	1	38	37
34	4	2	117	4	4	22	30	36	81	1	43	40
24	2	2	93	5	5	30	26	27	74	0	38	32
40	2	1	135	4	2	20	16	40	86	0	49	48
40	2	2	124	10	6	18	15	40	98	0	40	34
24	2	2	85	5	3	28	52	24	50	3	48	38
38	1	1	116	3	3	24	29	36	73	0	49	33
36	3	1	139	7	1	23	15	37	99	0	41	39
18	2	2	80	8	5	40	42	18	56	0	45	34
28	3	1	77	9	8	31	35	28	62	1	47	34
45	3	2	116	14	3	12	18	44	87	3	46	40
39	1	1	125	4	4	23	21	35	97	3	36	36
22	3	2	87	6	5	35	47	22	55	2	49	38
22	2	1	84	8	5	38	38	22	48	0	57	50
15	3	3	81	7	5	35	37	20	54	1	49	37
21	2	1	100	4	2	39	53	19	54	1	48	45
17	2	1	97	7	2	43	43	17	62	0	44	38
19	2	2	112	8	4	35	25	22	89	0	39	34
40	2	2	95	7	4	18	37	41	52	0	51	42
44	4	1	133	7	2	14	17	45	93	1	46	45
34	2	2	97	8	3	24	41	35	50	0	60	50
32	3	2	99	13	5	25	32	34	76	0	40	31
35	1	1	114	3	2	27	38	33	90	1	26	26
27	2	1	126	3	2	33	26	27	74	0	51	48
19	3	2	93	13	3	36	44	20	79	1	30	30
40	2	1	108	5	4	20	34	40	81	0	36	33
9	4	2	93	19	4	45	37	12	79	1	35	29
26	2	1	81	9	5	34	43	25	39	1	62	48
43	2	1	136	2	1	17	23	42	85	1	46	45
44	2	1	117	6	2	16	32	43	90	1	34	31
36	1	1	119	4	2	26	26	34	70	0	49	37
28	3	2	93	9	8	29	19	29	70	1	54	38
19	3	3	59	20	4	35	56	20	30	2	54	32
29	3	3	105	18	5	22	19	34	96	0	34	29
23	4	2	121	10	6	25	22	27	77	3	55	52
25	3	1	122	3	3	34	23	25	101	1	28	27
48	2	1	97	13	3	12	37	47	71	1	43	41
13	2	1	77	10	5	47	47	13	53	0	43	35
20	3	3	111	3	3	36	37	23	66	0	48	44
15	3	3	80	9	5	35	39	21	64	0	39	33
34	2	2	107	10	3	24	31	34	70	0	47	38
30	2	2	118	8	7	26	20	30	102	2	29	23
28	2	2	137	2	2	30	18	29	99	0	39	38
34	5	3	111	4	3	20	33	37	84	2	35	35
30	4	3	114	17	3	19	19	36	85	1	43	35
21	3	2	67	8	7	34	46	22	47	2	50	36
33	4	1	67	11	6	25	51	34	46	1	44	35
40	2	1	130	2	2	20	25	38	98	2	33	30
33	2	1	64	19	4	27	50	32	58	1	37	29
21	3	2	71	11	5	36	49	22	25	1	59	41
23	2	2	117	7	4	31	29	24	65	1	56	53
49	1	1	99	20	3	13	33	47	74	1	45	35
21	2	1	91	15	4	39	28	20	74	1	41	29
29	3	2	104	16	5	26	21	31	103	1	28	26
33	2	2	96	5	4	25	37	33	77	1	33	31
29	2	2	84	5	4	29	40	30	47	0	51	44
32	1	1	118	6	3	30	30	31	95	0	28	26
23	4	2	100	5	3	31	45	26	75	1	34	30
43	2	2	94	8	5	15	39	43	59	1	49	42
32	4	2	71	18	6	22	36	35	69	1	42	38
36	2	1	130	4	2	24	21	36	99	0	33	30
40	4	1	100	9	3	18	37	42	74	0	39	34
21	5	5	87	10	7	29	35	26	63	2	47	41
16	5	1	73	23	6	41	37	18	46	1	59	39
39	3	2	126	16	3	18	11	40	83	1	59	50
38	2	2	112	5	3	16	33	39	89	2	32	32
28	1	1	95	5	5	34	39	27	66	0	41	30
29	1	1	64	7	7	33	40	26	38	2	59	36
28	2	2	122	5	2	30	28	28	78	1	49	44
38	2	1	112	7	4	22	30	38	88	0	34	30
24	4	4	78	9	6	26	40	31	59	1	43	32
39	2	2	103	21	4	17	25	40	84	1	45	41
36	2	2	86	9	3	20	47	37	65	1	35	29
32	1	1	106	7	3	30	30	30	52	1	59	48
25	7	3	101	22	4	23	16	32	85	2	48	31
11	3	2	97	9	2	44	43	11	62	2	43	35
36	7	2	96	20	4	17	30	41	73	1	46	38
23	3	2	94	4	2	34	51	24	59	1	40	34
25	4	3	91	13	3	30	45	26	76	1	32	28
28	1	1	126	4	3	34	22	26	94	1	36	32
13	3	2	59	18	5	42	58	14	36	2	49	34
44	1	1	101	8	4	18	40	42	70	1	43	35
31	4	2	104	11	5	25	28	34	78	0	43	36
11	2	2	91	9	4	47	41	12	59	0	44	38
37	1	1	129	3	2	25	25	36	77	0	49	46
22	5	2	122	3	2	31	28	27	86	0	39	38
37	1	1	131	6	3	25	17	35	97	0	40	38
41	2	2	122	2	1	17	37	41	86	1	34	34
40	3	3	114	11	6	14	16	42	103	2	33	32
34	4	1	98	8	3	24	44	35	72	1	37	34
32	3	2	98	10	6	23	28	33	56	2	62	52
30	3	2	137	4	4	27	12	32	101	0	42	41
15	2	2	113	4	4	37	30	18	66	1	53	47
34	2	1	115	5	3	26	34	32	73	1	45	43
17	2	1	89	15	3	43	40	17	61	0	46	35
24	2	2	76	6	6	34	54	25	45	0	50	40
29	2	1	121	6	2	31	26	28	92	1	32	31
41	5	3	113	11	3	11	27	45	87	2	36	31
30	3	1	94	5	3	29	47	30	66	0	37	32
33	3	2	95	6	4	24	34	33	58	1	49	38
40	3	1	88	13	3	19	44	41	65	0	41	33
28	1	1	128	3	2	34	26	27	95	0	32	32
16	2	1	87	6	5	44	43	16	47	0	53	40
31	2	2	108	3	2	23	36	34	77	0	34	30
17	2	2	99	12	8	35	29	20	76	1	44	32
43	3	2	114	7	7	14	25	43	76	1	50	38
22	2	2	107	9	4	36	37	22	75	1	40	39
43	2	1	112	7	5	17	24	39	68	4	55	46
33	3	3	122	8	4	23	27	35	77	0	48	28
38	2	2	115	17	5	20	14	38	104	1	32	25
18	3	2	108	6	4	33	28	23	76	0	45	40
16	2	2	88	10	5	40	31	17	78	1	32	25
16	4	2	86	5	5	34	38	20	74	2	35	28
37	1	1	99	4	3	25	36	35	58	1	50	46
22	3	2	97	2	2	29	48	26	55	1	43	41
35	4	3	130	5	5	16	14	40	90	1	48	47
16	4	2	88	8	5	36	40	19	49	2	55	41
19	3	2	72	12	4	32	37	23	52	1	51	32
21	3	2	70	21	3	34	39	22	49	0	55	33
39	2	2	103	21	4	17	25	40	84	1	45	41
33	2	1	103	3	3	27	42	31	67	1	38	33
44	2	1	95	20	4	16	28	44	66	0	54	44
23	4	2	89	7	4	33	45	25	62	1	39	27
28	2	2	93	4	3	30	37	28	42	1	59	53
28	2	1	117	5	4	32	23	28	87	0	41	34
30	2	2	112	9	2	24	30	33	71	0	49	45
30	3	2	128	3	3	23	21	34	90	0	40	38
39	3	1	112	14	4	20	27	37	103	3	24	22
28	3	3	85	5	4	24	39	31	66	1	36	28
35	1	1	63	18	6	27	34	34	55	0	49	33
24	4	3	91	8	4	29	33	28	72	1	37	30
37	1	1	95	6	4	25	39	35	58	1	50	40
28	1	1	91	4	4	34	41	25	47	2	53	40
29	3	2	102	7	2	28	44	31	65	0	44	39
36	1	1	94	6	3	26	52	33	59	1	42	39
23	3	2	77	7	4	26	41	28	56	0	44	33
24	3	2	94	6	4	31	33	27	60	0	49	41
26	2	1	99	4	2	34	50	25	53	0	48	43
28	4	3	127	6	2	22	22	32	75	2	52	50
34	1	1	90	12	4	28	39	32	70	1	38	31
22	2	2	93	10	4	34	42	23	54	0	49	40
26	3	2	102	5	3	31	51	26	74	2	31	30
26	1	1	93	8	6	36	43	25	75	0	35	32
26	2	1	117	5	4	34	28	25	91	0	32	31
26	3	2	101	10	3	29	38	29	77	0	39	37
35	3	2	121	8	4	20	13	38	105	0	32	28
26	2	2	101	6	3	32	45	22	62	5	43	42
13	2	1	91	5	3	47	35	12	51	1	56	46
25	5	3	125	3	3	27	15	30	87	0	45	39
24	4	3	82	6	4	29	41	29	51	0	51	39
32	2	1	73	5	4	28	50	31	41	1	47	34
34	3	3	114	6	5	22	27	37	89	0	37	33
20	3	2	85	9	7	33	39	24	60	0	47	34
23	4	2	103	7	5	33	27	25	79	1	41	30
41	2	1	96	7	7	19	30	40	61	1	57	47
46	4	1	137	18	2	12	4	47	116	1	37	35
40	3	1	144	2	1	19	15	40	102	1	41	41
16	3	2	87	6	5	39	38	18	58	1	49	43
16	4	3	73	19	5	35	36	20	81	2	31	26
29	4	1	94	15	4	29	27	31	56	0	60	43
14	3	2	84	10	4	43	34	15	52	1	52	41
25	3	2	79	6	4	30	55	27	57	1	37	31
28	2	2	103	5	4	30	32	28	73	1	37	32
13	2	2	90	6	2	45	63	14	57	0	38	37
22	4	2	91	15	7	30	33	26	62	0	56	42
31	2	1	122	7	2	29	26	30	103	1	24	23
29	2	2	73	7	6	27	38	31	49	0	52	44
38	2	2	92	19	6	20	30	37	82	0	37	28
44	2	1	95	13	5	16	29	43	65	1	51	41
27	2	1	104	8	5	33	38	27	87	0	29	27
16	2	2	76	5	4	38	60	18	43	1	47	47
15	2	1	94	4	3	45	49	13	65	1	37	29
26	2	1	79	10	6	34	30	26	61	0	45	29
33	1	1	82	6	4	29	56	32	58	0	37	33
44	3	3	117	15	4	12	15	46	92	0	41	36
16	2	2	103	8	4	42	33	17	51	0	60	50
35	4	3	150	4	3	14	4	41	107	1	46	45
27	2	2	98	6	4	29	39	28	56	1	52	45
23	2	1	110	6	3	37	31	21	77	1	42	37
19	4	3	115	10	6	34	20	23	78	0	51	43
31	4	2	80	12	6	25	45	32	61	1	42	31
