largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
10	4	4	21	14	10	78	111	13	27	6	29	12
7	6	3	15	7	7	75	98	13	30	5	28	6
9	6	3	23	15	11	72	103	17	35	3	27	15
12	3	3	40	10	6	83	108	13	35	3	25	17
10	4	3	10	10	9	76	120	17	30	1	17	6
12	4	3	25	16	9	74	86	14	16	3	55	17
14	6	4	10	10	8	72	130	15	23	7	13	5
13	5	3	11	10	7	80	110	10	23	8	22	5
14	4	2	13	12	6	79	98	11	25	3	26	6
11	4	4	33	8	6	74	89	10	25	9	36	18
13	3	2	28	7	6	81	119	12	31	2	20	11
8	5	4	38	10	9	72	99	17	37	4	27	17
9	6	6	23	13	11	68	102	20	43	6	23	8
13	3	2	12	10	9	83	114	11	21	2	25	6
13	2	2	22	7	5	84	123	9	25	6	14	7
12	4	2	20	10	5	81	115	9	27	6	23	10
6	5	4	33	8	8	77	98	11	36	5	29	14
11	3	2	12	10	9	85	111	10	32	3	22	5
15	4	2	15	11	5	76	103	15	26	3	29	9
9	5	3	19	13	10	80	99	9	25	5	35	6
13	5	2	19	9	7	81	115	15	19	2	32	8
12	5	4	17	14	9	70	92	19	12	5	39	6
11	3	2	25	12	7	83	119	14	41	1	14	6
12	4	2	26	18	4	85	113	11	36	4	19	10
12	3	2	29	8	7	80	96	8	29	6	33	17
11	3	3	27	14	10	84	104	13	37	1	21	8
15	5	3	17	11	10	70	121	18	33	4	24	8
6	4	4	18	11	11	72	93	15	40	4	30	5
7	4	3	11	11	10	79	84	10	32	2	33	6
11	2	2	17	9	7	84	116	8	25	3	25	9
15	3	3	20	8	5	78	117	14	27	3	19	11
14	7	5	25	10	7	72	101	17	37	7	27	6
15	3	3	16	11	6	78	127	14	25	3	16	7
12	6	3	24	17	9	76	99	17	19	4	45	14
14	4	4	21	18	11	72	103	19	23	6	42	13
9	3	3	15	8	6	78	108	13	37	2	14	3
9	4	3	19	12	8	68	104	18	39	3	22	10
13	5	3	23	10	5	78	117	17	29	3	21	8
11	4	4	25	18	8	77	95	14	36	5	40	15
11	4	3	25	17	8	77	100	18	51	0	19	6
16	5	3	23	9	9	72	103	19	40	6	21	5
14	6	4	16	11	9	59	101	14	25	7	28	4
8	3	2	26	10	10	86	97	8	46	4	26	6
11	3	3	20	8	7	78	123	5	20	8	20	13
9	5	3	29	10	9	82	82	13	37	2	36	15
13	3	2	25	11	9	77	87	13	28	1	32	11
10	5	3	12	10	6	83	123	10	31	3	14	4
11	3	2	22	11	8	81	95	10	10	3	40	8
15	3	2	20	14	5	79	110	10	24	4	28	8
11	6	2	31	8	5	76	111	15	32	4	25	17
12	3	2	29	9	8	82	105	10	26	6	31	15
11	3	2	21	16	6	83	105	10	31	3	22	14
12	4	2	10	8	7	73	136	13	16	6	19	7
11	2	2	13	12	6	86	104	10	36	3	20	5
9	4	2	15	9	8	82	76	11	33	3	41	8
12	4	2	41	21	10	77	63	13	50	5	41	18
9	4	3	22	12	8	81	114	11	24	1	24	10
10	7	3	17	12	8	76	93	17	48	3	19	6
10	2	2	31	6	6	85	95	7	29	4	29	13
7	4	4	16	12	11	78	102	13	48	2	19	3
8	4	2	15	12	6	85	116	6	32	4	18	5
11	3	2	25	15	7	77	126	12	36	2	15	9
10	3	2	18	12	11	80	96	10	42	5	21	7
13	2	1	28	12	7	88	124	6	32	5	13	6
12	2	2	27	13	9	81	101	9	40	5	24	9
10	3	2	29	9	7	82	125	12	27	2	18	9
6	5	4	31	14	10	69	75	15	38	7	41	15
13	5	2	22	20	10	77	107	15	43	3	22	6
14	4	4	17	10	10	68	44	19	26	4	66	10
10	4	3	24	7	7	84	101	6	40	6	25	6
9	3	2	17	12	8	85	123	6	26	6	21	6
12	2	2	13	9	8	87	124	8	23	4	21	8
10	4	3	40	14	6	76	106	13	42	3	20	15
11	2	2	13	8	8	86	123	8	36	5	9	2
6	5	4	32	15	9	74	91	14	44	4	29	15
9	5	3	16	9	9	80	116	14	26	3	24	6
7	3	3	23	11	10	85	107	8	27	4	27	10
13	4	3	18	8	5	81	104	15	31	2	22	4
10	3	3	14	10	7	81	115	9	30	6	18	6
16	4	3	16	10	9	74	88	15	34	4	30	10
14	3	3	36	9	7	81	116	13	32	3	27	17
