1	Pair11	100	1000	112520	100000	5460	0.0546	0.0546
2	Pair13	124	1000	134555	124000	20949	0.168943548387097	0.1689
3	Pair21	102	1000	116895	102000	5716	0.0560392156862745	0.056
4	Pair24	301	1000	404269	301000	254862	0.846717607973422	0.8467
5	Pair25	153	1000	177888	153000	5862	0.0383137254901961	0.0383
6	Pair28	86	1000	94282	86000	3390	0.0394186046511628	0.0394
7	Pair31	162	1000	178218	162000	9511	0.0587098765432099	0.0587
8	Pair38	132	1000	145937	132000	17174	0.130106060606061	0.1301
9	Pair40	235	1000	279296	235000	8031	0.0341744680851064	0.0342
10	Pair41	236	1000	355085	236000	178106	0.754686440677966	0.7547
