x	y	id
16.8547024235047	5.03345740559841	PD45794b_lo0289
18.404586175139	5.58912992218816	PD45794b_lo0290
9.79811748491347	3.03258160137434	PD45794b_lo0292
21.7188528443818	6.55525145686664	PD45794b_lo0293
26.2105544499617	7.87416209115101	PD45794b_lo0294
29.566448338711	8.98853875433691	PD45794b_lo0295
28.9668933670808	8.81468319466433	PD45794b_lo0296
14.6426666924281	4.44715700474955	PD45794b_lo0297
17.5357278564574	5.3124599993263	PD45794b_lo0298
14.9981870407223	4.4871155724728	PD45794b_lo0299
21.6683572592435	6.49457675076633	PD45794b_lo0300
22.9436404737523	6.80171455519251	PD45794b_lo0301
13.6610377984298	3.98801664028026	PD45794b_lo0302
17.8487515376342	5.32151278337319	PD45794b_lo0303
25.8012893586053	7.70940142149762	PD45794b_lo0304
24.051754674086	7.24584835113012	PD45794b_lo0306
13.5025374989534	4.09857008118031	PD45794b_lo0307
28.0491398909004	8.46797419746017	PD45794b_lo0308
14.4604562345834	4.29236702933944	PD45794b_lo0309
28.5122720920198	8.67751035806919	PD45794b_lo0310
25.3033309504028	7.68650419375484	PD45794b_lo0311
18.8700980865712	5.66522383534881	PD45794b_lo0313
21.6891563782033	6.55839256240105	PD45794b_lo0314
22.417998209582	6.81411897463536	PD45794b_lo0315
11.4596415299702	3.44963283592145	PD45794b_lo0316
14.374187710519	4.28168053356688	PD45794b_lo0317
24.2463531502985	7.24613467174184	PD45794b_lo0318
30.638364536842	9.20849193249571	PD45794b_lo0320
20.7515118727902	6.15923636608617	PD45794b_lo0323
24.5576926792511	7.4326136019133	PD45794b_lo0324
26.0115507725203	7.6654933135716	PD45794b_lo0332
26.0032298368659	7.84653215212046	PD45794b_lo0336
18.3550856244888	5.42963249907367	PD45794b_lo0341
27.956447115044	8.63271802472463	PD45794b_lo0342
23.7597812856232	7.0497776804662	PD45794b_lo0343
15.4747795789297	4.74002088456227	PD45794b_lo0347
18.2648691642354	5.27907838447805	PD45794b_lo0348
16.2543520683193	4.67116919863914	PD45794b_lo0349
22.4254013949804	7.00224003772695	PD45794b_lo0350
24.1546232071668	7.21606258631724	PD45794b_lo0351
20.9584726059599	6.18759894903493	PD45794b_lo0352
12.2518499913055	3.60656179472496	PD45794b_lo0353
21.9625847711421	6.61951359180786	PD45794b_lo0354
15.5077735056772	4.53618587260417	PD45794b_lo0357
11.4974528405175	3.38755179034594	PD45794b_lo0358
21.9629261098338	6.72822279112069	PD45794b_lo0361
30.115163166335	9.02945733822885	PD45794b_lo0362
22.2035537866054	6.59585845656348	PD45794b_lo0365
21.9685356570126	6.73155758412773	PD45794b_lo0367
20.4014593839159	6.10696601205915	PD45794b_lo0368
23.9485158207263	7.13095799508202	PD45794b_lo0369
11.9014207417998	3.6053491427224	PD45794b_lo0370
28.8844214309176	8.67016707649813	PD45794b_lo0371
24.8750024151323	7.46698049651363	PD45794b_lo0372
25.3310792098975	7.69634857008118	PD45794b_lo0374
23.8919856251328	7.39742143025567	PD45794b_lo0375
29.5957616039054	8.78687641055007	PD45794b_lo0376
21.8334557000341	6.37785899551992	PD45794b_lo0377
21.9016654752014	6.9860460807761	PD45794b_lo0379
20.5137018503133	6.18374204197123	PD45794b_lo0384
33.9991917357395	0.137029676289285	PD45804b_lo0002
67.7518049088368	0.290927005086401	PD45804b_lo0014
40.520380496036	0.166705965574157	PD45804b_lo0018
75.1890726536185	0.361985043958635	PD45804b_lo0021
44.1219351971714	0.171885000168424	PD45804b_lo0027
30.9747860192824	0.126427392461347	PD45804b_lo0029
42.7951967849759	0.175287162731162	PD45804b_lo0030
37.5543984388585	0.154907872132583	PD45804b_lo0031
36.7831823070631	0.158310034695321	PD45804b_lo0035
41.6102620579503	0.171379728500691	PD45804b_lo0037
41.4787564967058	0.178807222016371	PD45804b_lo0039
44.1913654191704	0.176996665206993	PD45804b_lo0040
42.8391811735611	0.18179674605046	PD45804b_lo0041
72.3624308467132	0.328477111193452	PD45804b_lo0043
43.4945385809327	0.177577727624886	PD45804b_lo0044
37.774185134378	0.155051032438441	PD45804b_lo0045
32.9372162219603	0.136625458955098	PD45804b_lo0048
42.8953249479942	0.186133661198504	PD45804b_lo0058
46.8018013666428	0.205392932933607	PD45804b_lo0059
38.1528810917686	0.165644895071917	PD45804b_lo0061
57.6326455036678	0.249351568026409	PD45804b_lo0064
37.3087279659434	0.151547815542156	PD45804b_lo0067
76.0869640821531	0.347205847677435	PD45804b_lo0068
46.0918845115959	0.198285444807491	PD45804b_lo0071
42.9091974676533	0.173518711894095	PD45804b_lo0072
49.8585537544036	0.207009802270354	PD45804b_lo0075
71.9215178623181	0.33953413952235	PD45804b_lo0082
45.3444976846932	0.18505574830734	PD45804b_lo0085
37.2596041759247	0.157830026610975	PD45804b_lo0086
32.1328741361877	0.126200020210867	PD45804b_lo0087
88.9407970580469	0.434078889749722	PD45804b_lo0088
71.8333977368601	0.332755077980261	PD45804b_lo0093
43.2268936246949	0.188171590258362	PD45804b_lo0094
40.2427304519195	0.186588405699464	PD45804b_lo0095
40.7589698011863	0.182386229662815	PD45804b_lo0096
40.2220698005423	0.154360494492539	PD45806b_lo0001
32.9193506836434	0.120136760198066	PD45806b_lo0002
35.4504286054704	0.138141273958298	PD45806b_lo0003
32.2571149796163	0.118048303971435	PD45806b_lo0004
30.8244198852329	0.118966214167818	PD45806b_lo0005
33.879082378551	0.130351669080742	PD45806b_lo0006
33.0643487837394	0.128574797049213	PD45806b_lo0008
31.8754532398194	0.121997844174218	PD45806b_lo0009
