largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
15	8	4	16	10	6	102	62	22	12	5	19	10
10	5	4	7	6	6	111	77	15	14	2	9	4
11	6	6	11	10	7	94	51	17	16	8	23	5
17	6	5	12	9	6	101	72	21	15	8	8	3
7	6	6	13	11	6	118	67	16	18	0	14	4
16	4	4	19	7	6	106	65	23	18	1	15	6
8	3	3	16	7	6	109	56	13	14	4	24	11
10	5	3	8	8	5	115	78	13	7	2	14	4
8	7	6	18	13	4	111	52	19	9	2	33	16
17	8	3	19	11	2	105	73	20	19	4	10	7
11	6	5	13	9	3	117	80	16	15	3	8	4
13	4	4	15	8	2	113	74	11	16	5	10	4
7	5	4	14	12	5	112	62	12	18	5	17	5
5	3	3	13	11	10	111	58	11	17	1	21	7
4	4	2	14	9	6	117	70	9	12	0	15	7
14	5	5	14	8	4	105	70	17	8	6	17	9
9	7	6	13	10	9	105	61	20	8	4	23	5
12	3	2	12	12	6	116	67	7	14	1	9	6
12	8	3	13	11	4	105	58	19	5	6	28	9
8	6	2	9	8	7	115	74	11	11	5	10	6
15	3	2	8	8	6	105	75	15	16	4	9	4
7	5	2	9	8	8	117	70	12	19	2	8	3
7	6	4	15	13	5	107	57	21	21	1	15	7
7	5	4	9	8	5	117	77	14	16	1	5	2
7	7	6	13	12	2	107	76	17	10	5	15	7
17	7	5	14	8	8	105	65	26	13	4	17	4
17	5	3	11	8	4	102	66	21	11	6	14	6
10	5	4	7	7	4	105	85	19	13	3	2	1
5	5	3	11	10	4	113	70	12	8	2	18	9
7	5	3	9	8	4	112	80	14	8	3	11	4
6	4	4	10	7	6	115	68	13	11	3	15	5
11	5	3	7	7	4	108	85	19	11	1	6	2
9	6	4	20	10	4	119	71	16	7	2	18	12
13	5	2	10	7	6	113	73	12	11	5	10	5
8	6	4	10	9	7	98	69	17	19	3	7	3
