largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
6	2	2	15	4	3	126	104	7	10	1	11	8
2	2	2	19	4	3	126	92	5	10	1	18	13
6	5	2	14	3	3	123	95	10	16	2	8	2
3	2	2	19	2	2	131	108	3	13	0	7	6
8	2	2	22	3	2	124	106	8	14	1	10	9
2	2	2	7	5	3	132	111	1	13	0	3	1
2	2	2	12	5	4	128	97	3	13	2	12	3
3	2	2	11	9	3	125	98	2	10	0	12	5
7	2	2	22	2	1	127	109	8	15	1	6	6
2	2	2	16	3	3	132	99	1	14	2	7	5
2	2	2	11	2	2	134	114	3	10	0	2	1
2	2	1	12	3	2	136	110	1	9	0	8	5
2	2	2	11	4	3	132	105	3	11	0	9	6
5	2	2	17	2	2	131	104	5	12	0	9	6
2	1	1	14	4	3	138	108	1	9	0	11	9
5	4	3	13	3	3	114	100	8	11	1	6	3
6	2	2	9	3	3	126	100	4	13	3	1	1
6	2	1	9	4	2	132	106	6	11	0	7	2
7	2	2	15	3	2	129	113	8	11	0	6	5
2	1	1	22	2	2	138	105	1	10	0	14	13
7	6	3	11	10	8	109	84	15	29	1	8	2
6	2	1	16	4	2	132	107	5	10	0	11	8
3	2	2	19	7	4	125	92	4	18	1	12	10
5	3	2	21	3	2	126	99	8	18	1	9	6
3	2	2	28	3	2	133	92	3	17	0	14	13
2	2	2	12	3	2	126	102	3	15	1	4	3
4	2	2	25	3	2	130	101	4	17	1	9	9
4	3	2	13	2	2	127	110	5	14	1	2	2
3	2	2	8	4	3	129	109	4	12	1	5	3
6	5	2	10	10	8	121	81	10	25	1	12	5
8	4	2	10	4	4	122	105	9	18	2	2	1
7	2	2	15	3	2	127	109	6	12	2	6	4
3	2	2	31	2	2	129	98	4	18	1	14	12
4	2	2	21	3	2	130	103	3	17	0	7	5
4	2	2	16	6	3	130	104	5	12	0	10	8
5	2	2	17	2	2	127	104	4	10	0	10	5
4	3	3	10	4	3	122	105	6	15	2	5	2
2	2	2	19	4	2	130	100	3	11	0	14	10
3	2	2	15	2	2	127	106	2	10	0	9	6
3	2	2	11	4	3	129	108	5	13	1	6	3
2	2	2	11	4	2	134	106	1	11	0	6	3
3	2	2	12	6	5	131	108	3	15	0	5	3
5	2	2	10	7	6	125	95	5	13	2	14	6
3	2	2	8	6	2	127	115	6	12	0	1	1
4	3	2	12	4	4	125	98	7	12	1	7	5
5	2	2	23	3	2	127	95	6	13	1	16	13
5	2	2	20	2	2	125	107	7	14	2	7	6
3	2	2	12	5	5	119	94	3	11	2	13	4
5	2	2	17	2	2	127	104	4	10	0	10	5
2	2	1	11	4	3	136	109	1	16	1	2	1
3	2	2	5	5	4	133	103	3	13	0	2	1
4	2	1	28	2	2	134	101	3	17	1	12	11
2	2	1	12	2	2	136	115	2	10	0	2	2
4	3	2	18	6	6	125	99	6	10	1	17	10
3	1	1	14	3	3	137	109	2	12	0	5	3
4	2	2	11	6	3	128	109	7	15	0	1	1
3	3	2	23	5	3	126	100	5	18	1	10	9
3	2	2	24	4	3	125	98	2	12	1	17	16
2	1	1	11	3	2	138	107	1	9	0	6	3
6	3	2	10	3	3	123	84	10	15	0	0	0
2	2	2	7	5	3	134	102	1	15	0	5	2
2	2	2	12	4	2	134	113	2	11	1	5	5
12	2	1	13	9	4	126	97	9	19	3	6	3
10	3	2	14	7	4	123	99	9	14	2	10	7
2	2	1	17	3	3	136	108	1	14	1	7	6
3	2	2	17	2	2	133	108	2	9	0	10	5
3	3	2	29	3	2	128	95	6	15	0	15	13
8	5	2	15	6	5	123	96	10	19	3	9	5
5	2	2	26	3	2	129	102	6	17	0	10	9
3	1	1	12	4	3	137	112	0	12	0	4	4
4	2	1	19	6	5	134	92	4	13	0	14	8
7	3	2	16	3	3	118	101	13	14	0	9	6
5	2	2	15	4	3	129	105	6	9	0	11	7
6	2	2	15	3	2	128	97	7	16	1	6	4
3	1	1	21	3	2	137	101	2	12	0	13	10
3	2	2	16	4	3	133	106	3	9	1	12	7
5	2	1	31	2	2	133	98	4	17	1	15	13
3	1	1	10	8	4	137	103	1	16	0	4	2
4	3	2	14	4	2	123	107	6	13	1	7	3
3	2	2	11	2	2	129	110	4	10	1	5	3
2	2	2	18	12	5	130	89	3	13	0	20	11
3	2	2	26	3	3	131	91	3	16	0	18	12
3	2	2	10	4	3	131	110	3	11	0	5	2
5	4	3	14	4	4	116	101	9	17	0	5	4
6	2	2	13	4	3	128	107	6	14	0	6	3
4	4	2	11	2	2	126	108	4	12	3	3	0
3	3	2	13	3	2	130	105	5	14	1	6	6
6	2	2	23	2	2	130	104	4	16	2	8	7
3	3	3	23	7	3	121	98	8	16	1	15	12
2	2	2	15	5	3	132	99	2	21	0	4	3
4	3	2	18	3	2	127	106	6	12	1	10	9
2	2	2	20	2	2	134	107	3	14	0	6	4
5	2	2	17	2	2	127	108	6	11	0	7	6
2	2	1	13	3	2	136	113	0	9	0	7	4
5	3	2	15	2	2	126	112	7	12	0	4	2
5	4	2	16	13	11	125	70	9	41	1	12	5
4	4	2	21	6	4	130	91	6	16	0	16	7
5	3	3	19	5	3	117	84	8	18	1	14	9
2	1	1	19	4	2	138	106	0	12	0	9	8
5	3	2	19	3	2	124	103	7	12	0	11	7
2	2	2	16	8	2	134	103	0	13	2	10	8
3	1	1	19	3	2	137	101	0	10	0	15	11
3	2	2	22	10	6	131	76	5	19	0	28	14
2	2	2	12	7	2	132	108	3	9	1	7	6
3	3	2	13	3	3	118	106	7	12	2	7	4
2	2	2	13	4	3	128	109	5	10	1	9	9
2	2	1	19	2	2	136	106	0	11	0	9	8
6	2	1	14	2	1	132	117	5	12	0	0	0
3	2	2	16	2	2	133	113	2	11	1	4	4
3	2	2	9	4	3	129	111	2	11	1	4	2
2	2	2	12	4	3	128	100	5	9	1	12	6
2	2	2	14	3	2	132	114	1	11	0	5	3
3	2	2	10	2	2	133	115	1	10	1	2	0
2	1	1	19	3	2	138	105	1	15	0	6	5
3	2	2	10	6	2	131	109	5	13	0	5	3
2	2	2	16	5	4	130	94	4	11	0	16	5
3	2	2	16	3	3	125	105	5	15	1	7	5
9	2	2	17	3	2	125	111	10	17	0	1	1
7	6	2	14	3	2	125	110	10	13	1	4	2
2	2	2	19	11	7	132	88	2	11	0	27	10
2	2	2	14	6	3	130	104	4	13	0	9	4
4	2	2	23	5	2	126	101	3	18	3	8	5
2	1	1	13	4	3	138	103	1	10	0	12	8
7	2	2	28	2	2	129	99	6	19	0	7	6
2	1	1	14	3	2	138	112	1	11	0	4	3
2	2	1	11	6	2	136	98	0	10	0	11	7
3	2	2	16	3	2	125	100	3	10	0	14	7
4	2	2	12	4	3	130	108	5	11	1	6	4
2	2	1	27	2	1	136	104	2	13	0	13	13
2	2	2	13	4	3	128	109	5	10	1	9	9
2	2	2	9	4	3	126	98	3	14	2	10	5
5	3	2	17	2	2	118	110	10	13	3	6	6
4	2	2	28	2	2	130	95	3	15	0	15	13
2	2	2	24	3	2	128	104	4	18	0	8	6
4	3	2	22	5	2	125	102	4	15	1	10	8
2	2	2	12	4	2	134	113	2	11	1	5	5
5	2	2	22	2	1	131	109	4	10	1	11	10
3	2	2	28	3	2	133	94	3	19	1	13	11
2	2	2	24	2	2	132	103	2	11	1	14	12
7	2	2	13	7	5	129	100	7	15	0	8	3
4	3	2	11	5	3	127	99	6	11	0	13	5
8	2	2	18	2	2	128	111	5	12	3	6	3
4	2	2	17	3	2	128	109	7	11	0	9	7
3	2	2	7	5	3	131	103	4	12	0	7	2
2	2	2	11	7	4	130	103	3	13	2	8	5
3	3	2	12	3	3	130	105	5	12	0	7	4
3	2	2	26	2	1	133	105	2	15	1	11	11
5	3	3	10	5	3	125	111	8	13	0	4	1
5	3	2	15	3	2	118	109	6	13	2	4	4
9	3	2	23	9	2	120	93	13	21	0	11	9
2	2	2	11	3	2	132	109	2	15	1	1	0
3	2	2	11	3	3	133	108	1	10	1	7	2
4	2	1	14	4	2	134	103	3	11	1	9	6
2	1	1	8	7	7	138	88	1	17	0	15	5
3	2	2	17	12	7	127	83	3	17	3	24	9
3	2	2	31	2	2	129	92	3	16	2	19	14
2	2	2	21	2	2	130	98	4	10	1	13	10
2	2	1	14	2	1	136	117	1	10	0	2	2
11	2	2	15	2	2	125	110	10	15	2	2	2
2	1	1	17	2	2	138	106	1	15	0	4	3
2	2	2	23	2	2	134	100	2	11	1	13	12
7	2	1	31	2	2	131	92	4	21	2	11	9
3	2	2	30	3	2	131	90	2	21	1	13	11
3	2	2	14	7	2	129	102	4	10	0	13	7
2	2	2	9	4	4	124	104	3	11	2	6	3
3	2	2	8	5	2	129	112	5	12	1	3	1
2	2	1	5	3	3	136	102	2	13	0	2	1
4	2	2	11	9	4	132	95	4	12	0	16	5
4	3	2	25	8	2	129	94	6	18	1	14	9
2	2	1	19	2	2	136	110	1	14	0	6	4
5	2	1	10	3	2	133	106	4	11	1	4	1
3	2	2	12	6	5	129	93	6	18	0	10	6
2	2	2	33	2	2	130	92	3	17	0	15	7
5	2	2	14	12	3	129	96	6	12	0	15	7
2	2	1	20	7	2	136	100	1	15	0	12	8
3	2	2	13	3	3	129	98	3	12	1	7	4
2	2	2	15	2	2	124	104	4	10	2	9	6
2	2	1	20	2	1	136	111	0	11	1	8	8
1	1	1	15	2	2	140	106	0	9	0	8	6
3	2	2	12	3	2	129	104	4	13	0	4	2
2	2	2	19	2	2	130	108	3	9	1	12	11
1	1	1	25	2	1	140	106	0	15	0	9	7
6	2	2	14	2	1	130	117	5	13	0	0	0
4	2	2	11	4	2	132	110	4	11	1	6	4
4	2	2	13	2	1	132	118	4	10	0	2	2
8	3	2	20	3	2	123	102	9	12	1	11	8
4	2	2	17	11	5	132	96	3	17	1	14	7
2	2	2	15	4	2	132	112	3	13	0	4	3
2	2	2	28	4	4	134	95	3	22	0	12	12
4	2	2	9	5	2	128	105	5	12	0	5	1
3	3	3	7	6	5	125	88	4	17	0	14	4
4	2	1	21	3	2	134	101	4	10	0	15	12
6	3	2	19	3	2	127	105	7	15	1	8	6
3	2	2	12	6	5	131	108	3	13	1	8	5
9	4	1	25	6	2	127	100	11	15	0	14	12
5	5	2	25	4	3	124	88	10	14	0	21	13
5	2	2	17	4	2	129	108	5	17	2	4	3
2	2	2	15	3	2	132	111	4	8	0	6	4
3	2	2	14	10	9	125	94	3	18	2	14	10
2	2	2	14	3	3	128	109	3	10	1	8	6
4	3	3	13	3	2	122	103	6	12	0	8	4
6	2	2	31	3	2	130	95	5	20	1	13	11
2	2	2	14	7	3	132	99	1	13	1	11	8
3	3	3	16	2	2	129	109	5	15	2	4	2
3	3	2	19	2	2	132	106	3	10	1	11	9
6	4	2	13	4	3	118	95	9	16	3	10	4
3	2	2	14	3	2	131	108	5	10	0	9	8
2	2	2	8	4	3	132	112	2	12	1	2	1
5	2	2	8	4	3	127	107	4	12	2	4	1
4	2	2	23	2	2	126	106	4	10	2	14	12
4	2	2	11	3	3	128	108	5	10	1	8	6
4	2	2	12	12	8	128	87	7	21	0	14	6
3	2	2	24	4	3	133	93	3	11	1	21	15
3	2	2	17	6	2	129	106	3	17	1	6	3
3	2	2	8	7	3	127	107	5	12	0	6	3
3	2	2	7	7	4	131	107	5	12	0	6	2
2	2	2	14	2	2	132	113	2	10	1	5	4
3	2	2	17	2	2	131	104	5	14	0	6	5
7	2	2	19	7	6	129	92	4	16	1	17	10
5	4	2	22	5	3	129	99	6	19	1	10	7
5	2	2	11	3	2	125	115	4	11	2	2	1
2	2	2	5	4	3	132	89	2	21	0	0	0
3	2	2	19	2	2	121	106	6	10	1	11	9
4	3	2	16	7	3	111	94	11	15	2	11	7
3	2	1	29	2	2	135	96	2	14	0	18	15
3	2	2	21	2	2	123	98	4	17	2	7	5
2	2	2	18	2	2	134	97	1	9	1	14	11
2	2	2	20	15	2	132	96	2	16	0	18	13
5	2	2	16	2	2	125	111	5	10	2	6	3
7	2	1	31	2	2	131	92	4	21	2	11	9
2	2	2	11	4	3	134	106	2	11	1	9	6
2	2	2	18	5	3	124	92	5	11	0	16	14
3	2	1	10	4	3	135	107	2	10	0	7	5
4	2	2	19	2	2	130	108	5	10	0	11	9
2	2	2	17	5	3	128	94	4	12	1	17	10
2	2	2	13	7	2	134	105	2	9	0	12	8
5	2	2	21	2	2	123	106	8	13	1	7	6
2	2	2	21	2	2	130	98	4	10	1	13	10
3	2	2	8	5	2	133	110	2	14	1	2	1
3	2	2	12	3	3	125	109	6	13	1	4	2
2	2	2	16	5	2	130	100	4	15	0	8	5
6	2	2	12	2	2	124	113	6	11	1	3	2
3	2	2	11	7	3	131	101	4	11	1	12	5
4	2	2	9	5	2	128	105	5	12	0	5	1
3	2	2	20	1	1	131	113	5	11	0	8	8
1	1	1	12	6	4	140	87	0	10	0	18	8
5	3	3	21	2	2	119	104	7	11	1	12	9
2	2	2	13	9	5	128	94	3	13	0	11	7
3	2	2	9	5	2	133	109	1	10	1	7	4
5	1	1	14	2	2	135	113	4	10	0	5	3
12	3	2	15	8	3	121	93	12	18	2	10	2
3	2	2	21	6	2	129	104	5	13	0	9	6
5	2	1	10	8	3	133	99	5	11	0	14	4
6	3	2	26	2	2	119	99	7	21	3	7	7
3	2	2	17	2	2	131	104	5	14	0	6	5
3	2	2	22	13	4	127	83	4	19	2	22	13
10	3	2	19	2	2	123	108	9	15	4	6	4
1	1	1	10	6	4	140	101	0	14	0	10	4
2	2	1	13	3	2	136	109	2	9	0	8	6
4	2	2	10	5	4	128	104	4	15	1	5	2
2	2	2	18	2	2	128	109	3	12	1	6	5
6	2	2	23	2	2	124	96	7	14	2	12	10
3	2	1	21	13	6	135	81	3	21	0	22	15
8	2	1	29	2	1	130	102	3	23	2	4	3
5	3	2	17	4	3	122	91	8	10	2	18	9
2	2	2	26	2	2	134	101	2	13	0	14	14
7	2	2	13	7	3	125	99	8	14	2	8	4
3	2	1	12	2	2	135	117	3	9	0	4	2
3	2	2	26	3	2	127	100	4	15	1	12	11
