largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
20	16	12	79	7	6	104	34	62	62	0	37	31
18	14	13	62	7	5	94	42	63	49	3	34	24
39	15	12	52	10	8	68	44	99	62	0	23	22
69	27	12	103	11	10	40	13	128	78	0	46	44
51	23	16	32	20	13	68	45	101	41	1	42	19
33	14	11	42	11	11	56	31	106	61	1	32	20
21	10	8	79	9	6	126	42	44	61	0	32	30
38	22	17	94	21	8	57	15	107	94	2	29	21
55	17	7	74	8	5	76	40	90	58	0	33	28
32	21	11	118	9	6	82	5	79	101	2	31	28
11	10	10	33	12	9	101	60	54	21	2	46	24
30	26	15	90	13	8	70	18	92	54	1	61	51
54	15	13	70	14	8	63	41	98	78	2	17	14
25	21	18	76	15	12	95	17	72	85	1	34	31
21	15	12	52	8	8	115	39	54	59	1	28	20
48	41	15	85	15	11	59	20	109	81	2	35	30
25	11	10	39	17	12	102	37	66	50	0	39	18
68	18	12	72	13	7	70	41	101	68	0	27	17
23	16	8	48	6	6	103	63	62	27	0	42	31
15	10	7	66	20	5	106	31	54	63	3	37	30
28	12	7	38	12	11	90	31	70	40	2	53	20
28	27	9	52	14	6	79	50	84	45	2	34	22
30	17	8	53	16	6	94	32	69	31	2	57	30
13	11	9	70	11	10	105	33	49	34	2	67	48
10	9	7	57	10	5	95	50	57	38	1	41	31
20	15	10	93	7	2	109	40	52	68	1	31	31
18	14	14	41	21	10	86	44	72	28	3	53	26
15	12	11	72	18	17	114	25	52	69	1	43	26
18	13	12	114	5	2	112	17	58	75	0	45	45
16	13	12	74	8	3	101	39	63	57	0	35	30
24	23	16	37	11	7	78	64	84	47	0	19	17
24	13	12	45	7	6	99	60	67	26	1	42	31
23	12	10	54	13	8	105	54	62	51	0	30	29
41	17	10	61	16	12	99	40	73	70	0	23	18
23	15	14	65	9	5	97	42	67	49	1	38	28
35	26	9	54	9	9	80	41	85	56	3	32	22
38	13	8	92	5	4	91	34	75	72	3	30	30
38	12	8	52	19	6	92	42	71	57	2	30	24
32	9	8	37	15	13	94	45	68	44	0	40	21
50	14	6	47	11	11	94	44	71	45	2	41	22
40	27	13	63	21	11	66	29	99	68	1	35	24
71	22	19	113	10	4	59	8	112	107	1	21	21
22	13	9	76	8	6	105	38	58	43	2	52	50
17	17	14	60	6	6	88	46	72	70	1	14	13
19	18	14	63	9	9	90	34	74	58	1	37	28
26	15	5	91	14	10	111	23	53	74	3	39	31
17	12	10	53	18	16	106	37	58	65	1	34	29
18	17	14	38	17	11	105	37	60	36	0	51	26
57	12	9	109	7	2	92	20	80	86	1	31	29
25	16	11	87	8	5	81	24	76	46	1	59	53
42	10	8	32	15	10	84	47	78	43	1	41	27
25	18	5	89	7	7	97	31	62	60	1	44	38
29	14	9	56	11	7	112	48	57	33	0	50	31
30	23	7	44	14	4	100	58	68	43	1	29	24
36	22	9	121	7	6	85	1	81	100	0	35	35
13	13	10	33	12	10	105	57	57	40	1	33	22
22	13	11	74	9	7	90	38	63	35	2	58	51
13	11	9	47	12	11	105	46	49	34	4	48	25
29	15	8	47	20	9	105	32	61	41	1	55	31
17	16	13	60	23	6	111	39	55	63	0	32	24
38	12	7	65	9	8	100	43	66	67	2	22	21
23	20	9	50	9	7	100	29	65	31	2	62	36
