HSC_pop_size	HSCT_bottleneck	number_drivers_per_year	gamma_shape	gamma_rate	dpcpd	gamma_shape_engraftment	gamma_rate_engraftment
243921	27081	157.643986957282	0.801660112573064	32.1462750295097	1.77066072265012e-06	0.7669755325187	0.31949667474255
201767	10381	170.487335424803	0.162293383362159	24.5507489590466	2.31499001424881e-06	1.35598039063625	0.774831348285079
164234	9847	183.489891715837	3.49981972248071	52.2533960696516	3.06094981610497e-06	0.352758810902014	1.18077519861981
257254	7747	185.944705863725	0.531630765658218	33.7125204161353	1.98029010360024e-06	0.216500538913533	0.670495718764141
200257	5894	110.291407234964	0.378282827136339	29.2134558619695	1.50890225560106e-06	0.466286168526858	1.12721984633245
218381	29716	223.737524231482	0.694651930219691	33.5483972553965	2.80692696911552e-06	0.118226749217138	0.910458747437224
240659	4813	123.369078602282	0.52261475282084	23.3681370445035	1.40446638448049e-06	0.704716889606789	1.11858163452707
215246	35853	160.025128648935	0.715036714760215	30.9421466146407	2.03685555130912e-06	1.10207334412262	0.371792108379304
156419	7398	234.765693100104	0.570725027407777	34.8510043123592	4.11199201967991e-06	0.441359019791707	0.942810603510588
165058	25896	193.884019627243	1.00758425903549	38.0915128860688	3.21819660282542e-06	1.17656849711202	0.279862817889079
234149	14558	151.902996786042	1.73412083598812	30.6995147618697	1.77738360588498e-06	0.261080844001845	0.836384080722928
256424	739	122.930778932706	0.985342554745955	32.5877916555688	1.31343655278037e-06	1.24453827962279	1.16032511969097
242041	6749	241.385274792318	1.41140596578385	40.4997811157899	2.73230370052575e-06	1.16840814887546	0.514037028048188
282169	22489	142.547454169304	0.131896480981847	23.3979676956332	1.38406759894553e-06	0.800384452706203	0.352284984057769
342588	28665	195.989356116777	0.825344452394329	32.3240024217593	1.56735536576285e-06	1.1068696776405	0.974064212013036
267576	13223	183.244227724694	1.0431991304335	37.776505047811	1.87624816899742e-06	0.23068867395632	0.947960998257622
225394	2246	179.342803984877	0.528868161416183	28.5482176370065	2.17996108105705e-06	1.03339958637953	0.62298279912211
241744	20036	260.501345827255	0.158054316769553	32.3744941211998	2.95230623028884e-06	0.298866621265188	1.37598124020733
318610	5427	184.44465997672	0.837895042074551	26.9084691893673	1.5860388423234e-06	1.4980393383652	0.943506496818736
279040	7789	310.198415627966	1.30511412653281	50.5080469720597	3.04565178093941e-06	0.493046713527292	1.48246670849621
231521	10238	154.71032589478	0.337662352417099	27.3566951612805	1.83077952566308e-06	0.798123694956303	1.18342072428204
375819	15927	274.287665272228	0.825141547367621	36.4953293368742	1.99956110665068e-06	1.47524813585915	0.115698790224269
275862	1651	179.965624687303	0.452472641852338	24.4529955595479	1.78733028105579e-06	0.194287071097642	1.23413706584834
304919	12079	191.049048346525	0.98288650467777	33.4618196444204	1.71659375199463e-06	0.544014505809173	0.239322001859546
233870	37133	123.714638205301	2.53661754798826	38.0811517094332	1.44928470629452e-06	0.513868168508634	0.615258330106735
