DNMT3A
ASXL1
PPM1D
TET2
ZNF318
SRSF2
TP53
MTA2
YLPM1
ZBTB33
SF3B1
MYD88
SIK3
GNB1
BRCC3
GNAS
SRSF1
CBL
JAK2
DUSP22
CHEK2
ZNF234
SPRED2
IGLL5
BAX
CCDC115
MAGEC3
SH2B3
CCL22
PHIP
KDM6A
SRCAP
