ABL1
ASXL1
ATM
ATRX
BCOR
BCORL1
BRAF
BRCC3
BTK
CALR
CBL
CCND1
CD79B
CDKN2A
CDKN2B
CEBPA
CREBBP
CRLF2
CSF3R
CSNK1A1
CTCF
CUX1
CXCR4
DDX41
DKC1
DNMT3A
EP300
ERG
ETNK1
ETV6
EZH2
FBXW7
FLT3
GATA1
GATA2
GNAS
GNB1
IDH1
IDH2
IKZF1
IL7R
JAK1
JAK2
JAK3
KIT
KRAS
KMT2A
MAP2K1
MPL
NF1
MYC
MYD88
NOTCH2
NFE2
NOTCH1
NSD2
NPM1
NRAS
PIGA
NT5C2
PHF6
PRPF8
PLCG2
PPM1D
RAD21
PTEN
PTPN11
SBDS
RIT1
RUNX1
SF3B1
SETBP1
SETD2
SMC3
SH2B3
SMC1A
STAT3
SRSF2
STAG2
TERT
STAT5B
TERC
U2AF1
TET2
TP53
ZRSR2
WT1
XPO1
