largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
6	6	3	12	10	8	113	62	13	21	2	11	3
16	5	2	9	9	6	110	67	15	11	3	15	3
9	6	3	17	14	6	115	56	8	14	5	24	13
5	4	3	13	11	4	112	61	12	21	4	11	3
11	5	3	11	10	3	110	70	17	5	1	17	6
11	8	3	12	9	5	117	63	15	23	1	8	3
7	5	2	13	13	4	125	42	11	15	0	23	5
5	3	3	12	11	7	117	55	10	11	2	24	6
10	7	4	15	9	5	109	53	16	8	4	24	9
11	4	3	16	12	4	105	57	18	19	0	19	10
9	9	4	12	9	4	105	63	18	13	3	19	6
7	4	3	11	10	5	121	68	10	22	2	5	3
15	5	3	13	9	5	105	76	20	20	1	3	2
7	5	4	9	9	6	109	76	11	14	6	11	6
7	6	5	9	8	3	111	59	14	15	4	16	5
10	4	3	13	11	8	116	49	12	14	1	26	9
9	3	3	13	10	4	107	67	11	11	6	15	5
15	7	3	15	13	6	96	57	24	25	4	13	5
9	8	3	17	15	6	107	56	18	11	3	24	11
12	9	4	19	10	6	114	55	18	23	2	13	7
9	4	3	22	14	3	117	64	12	17	4	16	8
17	7	3	12	12	3	108	72	15	13	6	15	8
8	4	3	13	13	7	111	49	15	13	1	30	7
11	9	5	17	12	8	102	54	20	14	5	22	7
9	3	3	12	11	4	117	66	8	22	5	8	4
14	4	3	17	10	5	104	59	17	8	2	19	8
7	5	4	19	11	2	112	61	11	11	4	19	12
10	4	2	15	13	4	125	65	10	15	2	14	6
9	8	4	9	9	7	107	58	20	9	5	24	7
6	4	4	9	9	4	117	67	12	14	4	12	4
14	6	4	12	9	4	107	72	17	19	6	7	5
9	7	5	10	9	8	114	70	19	22	2	6	3
10	4	3	11	10	5	108	68	12	11	6	12	5
7	6	4	22	9	4	118	52	13	20	1	16	3
10	3	3	17	11	2	111	61	11	21	4	12	6
14	4	3	16	10	7	110	56	14	11	6	17	6
11	3	2	14	13	6	107	52	12	11	3	24	9
10	2	2	18	12	4	117	62	11	21	3	13	6
7	6	2	15	11	4	120	55	10	12	1	22	7
8	5	4	11	8	4	101	73	16	15	4	9	5
6	4	2	11	10	4	117	67	10	20	3	11	5
9	6	4	8	8	5	101	71	19	18	5	8	2
13	5	3	16	10	4	106	61	20	10	3	16	5
7	4	2	10	10	6	118	57	10	10	3	22	7
6	6	4	19	9	4	113	55	13	8	3	18	7
6	4	2	13	12	6	119	57	9	11	2	24	8
7	5	4	9	9	6	107	64	15	24	4	4	2
14	5	3	16	12	2	113	73	18	21	3	8	6
6	4	3	17	13	2	113	65	14	18	3	12	5
6	5	3	9	9	3	114	70	14	15	1	10	5
10	8	2	12	12	7	117	59	13	12	4	19	4
11	3	3	18	15	7	114	54	13	16	3	26	10
15	7	3	12	9	4	106	62	16	13	1	16	2
9	8	4	10	8	4	112	64	16	9	5	17	5
13	4	4	15	8	5	103	51	18	21	2	17	7
13	3	2	16	11	7	117	64	14	18	1	15	7
15	3	2	14	10	4	121	71	12	11	4	13	5
6	6	4	23	9	4	112	65	15	17	4	17	9
9	3	3	21	14	7	116	48	13	14	2	29	10
6	5	3	21	13	4	111	59	12	24	4	16	11
15	4	3	10	10	5	105	60	24	20	4	13	5
7	5	5	13	9	5	108	68	16	23	3	8	2
5	4	4	11	9	6	118	53	11	11	3	24	6
11	5	4	10	9	6	103	64	19	5	4	17	4
7	5	3	14	9	4	116	59	13	5	2	21	7
12	5	4	15	13	3	107	72	16	9	4	16	8
10	5	4	10	9	6	108	71	13	16	4	11	4
7	6	4	13	9	3	102	66	19	17	1	11	7
14	5	3	15	10	5	109	63	19	11	2	18	6
9	4	2	9	9	4	116	68	13	10	3	15	5
7	4	3	19	13	4	123	67	7	20	2	14	10
9	3	3	12	10	7	118	62	13	15	2	19	6
13	6	3	19	12	4	113	59	14	9	4	21	8
6	5	4	10	9	6	105	63	14	15	6	14	3
12	6	4	11	10	6	114	69	13	16	4	14	4
4	4	3	14	12	4	120	65	9	8	3	20	8
11	5	4	22	11	8	99	58	22	25	3	14	9
8	7	4	14	9	5	102	63	13	5	5	17	4
8	6	5	16	15	2	105	68	18	15	3	16	12
10	7	3	13	8	4	113	68	12	9	4	16	7
11	7	2	17	12	4	115	63	15	14	4	18	9
9	5	4	15	9	7	105	61	18	25	3	12	4
13	9	5	14	12	9	105	51	23	21	3	22	7
11	5	3	11	11	6	108	71	20	11	1	18	6
15	5	3	17	10	6	110	63	20	7	3	21	8
9	7	6	14	8	6	103	49	20	14	3	24	7
8	4	4	10	9	3	117	66	10	11	5	14	5
11	6	3	9	9	5	104	76	23	14	2	4	3
6	4	3	12	11	5	121	63	11	15	3	17	6
7	5	5	15	15	5	108	61	13	24	1	15	4
11	5	3	13	8	7	114	61	13	17	3	16	5
6	5	4	12	9	5	107	55	15	12	2	22	5
6	4	3	15	12	2	119	72	10	18	2	10	9
16	6	3	12	10	5	104	63	19	13	5	16	5
11	3	2	14	13	4	115	64	12	22	4	9	5
8	8	4	10	8	7	112	65	13	15	5	16	5
7	4	4	14	10	3	109	65	11	22	6	9	7
7	6	4	18	15	6	114	60	15	26	4	14	8
9	4	4	15	14	6	111	52	19	17	0	24	10
8	4	3	17	10	5	110	55	9	13	6	21	7
14	6	3	15	8	7	100	53	19	12	4	25	6
7	4	4	17	13	7	109	48	17	24	2	20	7
8	4	3	11	9	6	118	59	9	19	3	17	4
11	8	6	13	9	6	100	58	26	18	4	19	5
5	4	3	16	12	5	119	62	11	11	2	21	9
7	3	3	15	9	4	118	59	11	18	2	15	3
8	5	3	11	10	5	117	53	9	13	5	22	5
8	5	2	10	10	7	116	72	13	17	2	8	4
14	9	3	21	11	6	115	62	16	19	4	17	9
15	4	3	19	9	5	103	60	17	18	6	18	6
8	6	4	11	10	6	121	54	13	14	1	26	8
6	4	3	11	10	6	122	61	10	18	2	11	5
7	6	5	14	12	8	109	62	16	16	3	14	8
11	3	3	11	11	6	112	69	16	14	2	12	7
9	6	3	21	10	2	111	68	12	14	3	14	9
12	6	5	14	13	3	116	71	17	18	4	9	6
10	7	5	25	13	3	109	66	17	18	4	17	9
9	4	3	11	9	5	120	63	13	14	2	17	7
11	4	4	12	10	7	113	55	18	19	2	19	5
6	5	3	16	14	6	118	55	8	7	4	24	8
10	8	4	21	10	5	112	63	16	24	5	12	6
5	4	4	13	9	6	112	55	12	13	4	24	9
6	6	6	17	13	3	103	65	20	15	6	18	10
11	8	3	12	11	6	110	63	16	4	4	24	8
13	5	4	12	11	9	109	50	18	20	2	26	7
11	7	3	17	11	5	109	62	16	22	6	12	6
14	4	3	15	9	5	112	64	18	12	2	17	9
11	6	4	20	11	3	113	65	18	8	2	22	13
10	7	3	13	8	4	113	68	12	9	4	16	7
9	6	3	11	10	5	115	64	12	15	4	10	2
12	3	2	14	10	3	118	72	13	15	2	9	5
13	7	5	11	9	7	114	59	16	10	2	18	5
