largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
13	4	3	23	15	6	75	100	17	20	4	39	17
12	6	4	18	13	9	67	98	19	24	3	40	12
11	7	5	16	15	10	62	109	18	30	4	18	5
9	3	3	14	13	10	80	116	11	26	3	24	7
5	3	3	18	11	9	81	108	9	25	3	28	10
8	4	3	13	12	10	80	109	13	31	2	26	6
16	2	2	25	17	5	83	126	11	27	5	19	10
16	9	3	25	14	8	71	107	19	29	6	28	10
15	3	2	34	10	6	83	110	13	26	4	29	13
12	3	2	18	7	5	74	133	17	22	2	16	6
18	3	2	36	13	4	80	121	14	28	4	25	10
16	5	2	32	15	14	76	113	17	31	2	32	11
9	4	3	59	10	7	79	75	10	44	3	48	33
9	7	6	19	15	8	68	114	24	41	1	14	3
15	3	3	17	14	4	78	124	14	21	5	16	8
9	3	2	17	8	7	81	127	9	24	4	17	5
8	4	3	15	11	7	84	132	7	20	6	18	5
6	6	5	28	9	8	69	100	17	39	4	30	18
7	4	3	18	15	13	74	107	12	22	4	33	11
11	6	3	18	12	9	75	123	16	20	2	26	13
9	6	5	29	9	8	77	112	15	33	3	19	5
10	6	5	15	13	6	70	114	13	27	8	15	7
8	6	5	20	12	12	70	88	13	23	6	46	12
15	4	2	24	15	6	78	125	16	30	0	15	4
14	3	2	22	10	9	82	118	13	21	1	29	11
17	3	2	23	10	10	73	87	19	41	2	36	5
16	2	2	39	9	4	79	118	13	34	5	19	14
10	4	3	22	15	13	70	97	16	20	3	43	17
12	8	2	33	13	11	77	97	16	30	1	38	22
14	3	3	35	21	9	77	95	15	34	2	35	14
14	6	2	16	13	8	75	120	15	21	5	28	7
17	3	2	35	7	6	77	111	10	30	8	19	11
10	4	4	23	10	10	78	109	14	18	4	36	15
9	4	2	28	7	6	84	122	12	30	0	22	6
12	5	2	41	9	5	82	109	16	26	1	33	23
9	4	2	45	11	9	82	95	8	29	5	43	31
13	2	2	12	10	10	82	123	9	31	4	11	4
10	7	4	19	9	8	69	129	13	26	10	20	8
14	3	3	35	21	9	77	95	15	34	2	35	14
11	4	4	28	12	9	78	122	12	30	3	23	9
9	3	3	10	9	8	76	124	15	30	2	13	4
12	4	3	21	8	7	80	122	14	23	3	25	7
8	3	2	14	11	8	84	120	9	23	2	19	7
12	7	6	31	15	8	68	98	21	29	3	39	15
16	3	2	30	9	9	74	115	13	19	5	31	17
12	5	5	9	9	8	79	132	16	20	3	17	4
6	3	2	31	12	10	88	97	9	35	0	30	9
7	6	3	9	9	7	71	116	18	26	3	23	6
16	2	2	16	13	12	73	106	16	36	5	24	8
7	4	4	14	9	7	74	142	12	26	3	10	5
7	5	4	16	15	14	83	119	11	27	3	20	8
9	4	3	15	7	6	75	122	14	23	1	20	5
11	2	2	20	6	5	88	123	9	24	3	13	5
10	3	3	13	11	8	75	107	12	18	2	27	8
18	4	3	42	10	5	70	104	15	41	8	21	9
15	2	2	27	16	7	84	120	9	27	5	24	17
6	6	5	15	8	8	73	114	14	31	4	14	3
11	4	4	24	7	4	72	110	20	41	1	14	2
11	4	3	16	12	3	73	132	15	24	2	13	8
11	8	3	18	12	9	73	114	16	22	4	32	8
17	2	2	36	10	8	80	115	15	32	0	25	10
11	3	2	11	7	6	81	115	12	26	4	21	4
19	2	2	13	12	9	76	119	13	29	6	14	5
4	4	3	18	14	9	72	103	13	28	4	31	11
13	6	2	27	13	3	80	131	14	26	5	15	6
14	2	2	20	11	9	83	128	10	20	6	27	11
9	5	4	17	12	7	73	122	16	26	4	28	8
17	3	2	31	11	8	77	126	16	24	5	25	13
20	3	2	39	9	4	76	118	16	36	4	18	10
13	3	2	22	10	7	79	120	9	19	5	29	8
11	2	2	18	15	5	86	144	11	27	1	11	5
