x	y	id	donor	loss_of_Y
30.4757359713018	9.3590292047024	PD45792b_lo0001	PD45792	NO
28.0615890926187	8.52037929059858	PD45792b_lo0002	PD45792	NO
28.1002473095427	8.53919223902718	PD45792b_lo0003	PD45792	NO
27.3401182448751	8.46454677131404	PD45792b_lo0004	PD45792	NO
28.1843003522873	8.19545592346818	PD45792b_lo0005	PD45792	NO
28.361358527993	3.59133627513727	PD45792b_lo0006	PD45792	YES
26.5967630787462	1.34092363660862	PD45792b_lo0007	PD45792	YES
28.5312968938179	8.56747061003133	PD45792b_lo0008	PD45792	NO
27.46644576257	0.20729612288207	PD45792b_lo0009	PD45792	YES
25.8020589807498	7.02047192373766	PD45792b_lo0010	PD45792	NO
27.291010555738	8.31863273486711	PD45792b_lo0011	PD45792	NO
26.5185127937606	8.04352073298077	PD45792b_lo0012	PD45792	NO
38.4800671084749	11.5733570249604	PD45792b_lo0013	PD45792	NO
29.3660696459738	8.65558998888402	PD45792b_lo0014	PD45792	NO
22.8142215867741	6.81805167244922	PD45792b_lo0016	PD45792	NO
10.9170868996786	2.08405194192744	PD45792b_lo0017	PD45792	NO
30.7772088799583	9.36590932057803	PD45792b_lo0018	PD45792	NO
26.8481976673043	0.197114898777243	PD45792b_lo0020	PD45792	YES
33.2666917840421	10.1510004379021	PD45792b_lo0021	PD45792	NO
30.9417502302426	9.45588136221242	PD45792b_lo0023	PD45792	NO
36.7098395708149	11.0721359517634	PD45792b_lo0024	PD45792	NO
26.7059753592107	0.211481456529794	PD45792b_lo0025	PD45792	YES
25.2490194563054	7.65734159733217	PD45792b_lo0026	PD45792	NO
29.0174211539824	8.55744938862128	PD45792b_lo0027	PD45792	NO
31.7613301904412	9.44033583723515	PD45792b_lo0028	PD45792	NO
27.4098865853894	8.32393808737831	PD45792b_lo0030	PD45792	NO
23.3098872294247	6.94662646949843	PD45792b_lo0031	PD45792	NO
29.9121922316466	9.1805167244922	PD45792b_lo0032	PD45792	NO
27.1689368909841	8.3688820022232	PD45792b_lo0033	PD45792	NO
22.0235588100804	4.84165628052683	PD45792b_lo0034	PD45792	NO
24.9514687224272	7.35577020244552	PD45792b_lo0035	PD45792	NO
30.8849173380734	9.53013103378583	PD45792b_lo0038	PD45792	NO
27.7514571297924	8.1330127665308	PD45792b_lo0039	PD45792	NO
28.2173039395637	8.60681443055883	PD45792b_lo0040	PD45792	NO
23.7182538915831	6.88516017111867	PD45792b_lo0042	PD45792	NO
25.1987138615711	7.56522215110991	PD45792b_lo0043	PD45792	NO
9.2196256867026	2.68932529389969	PD45792b_lo0044	PD45792	NO
25.9499906614886	7.43667261764409	PD45792b_lo0045	PD45792	NO
29.0801984916694	0.2473473237444	PD45792b_lo0046	PD45792	YES
27.6677872880319	0.23613029272072	PD45792b_lo0047	PD45792	YES
25.3310566686632	0.189670562872638	PD45792b_lo0048	PD45792	YES
23.5813738560324	7.166630174824	PD45792b_lo0049	PD45792	NO
4.57119487863155	1.45311921042881	PD45792b_lo0050	PD45792	NO
26.6234357993444	0.210049853471216	PD45792b_lo0051	PD45792	YES
22.2515022122611	0.172449220197393	PD45792b_lo0052	PD45792	YES
26.8249254529178	8.25063158958467	PD45792b_lo0053	PD45792	NO
27.1225534710281	8.25866540910163	PD45792b_lo0054	PD45792	NO
25.7700536481378	7.75224003772695	PD45792b_lo0055	PD45792	NO
24.4269341989167	7.56409371105198	PD45792b_lo0056	PD45792	NO
