largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
4	2	2	22	2	2	130	103	5	20	1	5	5
6	2	2	21	11	2	126	93	6	23	1	8	5
3	2	2	16	4	4	131	100	2	18	0	6	2
2	2	2	22	4	3	128	92	2	15	1	14	6
3	2	2	18	3	2	131	106	4	13	0	8	5
6	2	1	25	4	3	132	84	5	24	0	10	6
4	2	2	15	3	3	132	104	3	15	0	7	5
2	2	2	13	4	3	132	96	1	17	1	6	2
2	2	2	17	2	2	132	106	2	15	1	4	2
2	2	2	15	2	2	134	114	1	14	1	1	1
5	2	1	20	3	2	133	96	3	15	1	10	7
2	2	1	15	3	2	136	101	1	16	1	6	1
2	2	2	19	2	2	130	110	3	13	1	7	6
4	2	2	17	3	2	130	97	5	18	0	4	2
4	2	1	16	6	3	134	102	3	19	0	4	2
3	2	2	15	4	2	131	92	3	16	1	10	2
3	2	1	20	2	2	135	105	3	14	0	8	5
2	2	2	15	3	3	128	98	3	14	0	9	5
3	2	2	18	11	4	127	92	4	30	0	4	3
3	2	2	19	5	4	131	71	4	25	1	17	5
2	2	2	22	2	2	130	107	1	18	2	4	4
2	2	1	13	7	3	136	102	1	17	0	4	2
2	2	2	18	2	2	134	105	1	15	1	5	4
2	2	2	14	4	2	134	95	2	17	0	8	3
2	2	2	20	2	2	134	97	2	16	1	9	6
3	3	2	20	9	2	128	98	7	18	0	11	5
4	1	1	24	6	4	136	93	3	25	0	7	2
3	2	2	21	5	3	131	79	4	18	1	20	8
2	2	2	13	4	3	128	99	2	16	0	5	2
5	2	2	24	3	3	125	99	5	27	3	2	1
2	2	2	18	11	2	130	102	3	23	0	5	3
2	2	2	13	5	2	134	105	3	15	0	6	3
2	2	2	18	4	3	132	73	4	18	0	20	5
2	2	2	19	2	2	132	98	2	10	0	14	6
3	3	2	14	6	3	128	87	5	17	1	13	2
2	2	1	24	2	2	136	95	1	19	1	9	5
2	2	2	16	2	2	134	105	0	18	0	1	1
3	2	2	21	2	2	127	102	4	21	2	1	1
2	2	2	15	4	3	130	97	2	17	3	8	3
4	1	1	12	4	4	136	105	3	17	0	4	1
2	2	2	14	6	5	132	87	0	17	1	18	4
6	3	3	20	5	2	126	106	9	22	0	1	1
4	2	2	20	3	3	132	95	4	13	1	14	4
2	2	2	15	5	2	134	103	1	14	0	5	2
2	2	2	14	3	2	126	100	3	17	2	6	2
3	2	1	22	3	2	135	82	1	11	0	20	3
4	2	1	12	4	3	134	100	3	18	0	2	1
3	2	2	21	3	2	127	101	6	19	1	6	4
3	2	2	16	11	2	133	78	4	17	0	20	5
3	2	1	30	3	2	135	92	3	27	0	6	6
2	2	1	20	3	2	136	96	0	15	1	10	7
4	2	2	19	6	2	128	96	6	18	1	10	4
2	2	2	28	3	2	128	88	3	27	1	8	7
2	2	1	21	6	2	136	102	1	22	1	5	5
3	2	2	19	3	2	131	103	5	15	0	6	6
2	2	2	15	4	2	134	98	1	12	0	10	6
3	2	2	15	3	2	133	101	3	14	0	4	2
2	2	2	20	9	5	132	81	0	37	0	2	1
3	2	2	20	3	2	129	104	4	18	1	1	0
5	2	2	20	3	3	131	95	5	15	0	13	8
2	2	2	20	3	3	132	76	2	13	0	22	7
1	1	1	17	3	2	140	109	0	11	0	7	5
2	2	2	23	2	2	130	94	4	23	0	6	4
3	2	2	17	4	3	131	95	3	20	1	7	2
3	2	1	19	2	2	135	106	2	17	0	4	2
3	2	2	17	3	3	131	102	1	16	1	7	3
3	2	2	22	3	3	131	101	2	21	0	4	4
4	2	2	21	3	3	124	98	6	16	2	11	6
4	2	1	17	3	2	134	109	4	17	0	3	2
2	2	2	15	6	4	134	90	3	14	0	16	6
3	2	2	19	10	4	133	92	2	22	1	11	4
3	2	2	16	2	2	133	109	0	15	0	3	2
2	2	2	15	2	2	134	104	2	16	1	4	1
3	2	1	17	5	3	135	94	2	12	0	15	5
4	2	1	16	2	2	134	113	2	16	1	0	0
2	2	1	23	3	3	136	94	1	19	0	12	6
3	2	2	17	3	3	131	104	4	15	0	7	3
4	2	2	15	3	2	130	101	4	16	0	4	1
2	2	2	19	3	3	130	92	4	16	0	13	6
3	3	2	17	6	2	132	102	4	20	1	4	2
2	1	1	21	3	3	138	94	1	22	0	8	5
2	2	2	18	3	2	134	106	1	16	1	3	3
3	2	2	14	9	5	131	96	4	19	0	11	6
2	2	2	14	5	3	132	93	1	23	0	2	1
2	2	2	13	4	3	134	86	2	20	1	9	4
4	2	1	25	4	3	134	83	2	27	2	11	7
2	2	2	13	4	3	132	97	1	16	1	6	3
2	2	2	13	10	6	132	98	4	21	0	8	4
2	2	2	13	5	4	132	103	3	18	1	5	2
3	2	2	15	12	4	133	90	2	23	0	11	6
6	3	2	22	3	2	129	88	5	21	1	11	7
2	2	2	11	5	4	134	103	3	18	0	2	1
2	2	2	18	3	2	128	92	2	19	1	9	4
5	2	2	20	2	2	123	101	6	17	2	4	2
2	2	1	14	3	2	136	108	2	15	0	3	3
3	2	2	15	2	2	129	106	2	15	2	4	1
6	3	2	24	6	3	125	92	8	22	1	9	4
2	2	2	21	3	2	130	97	2	15	1	11	6
4	3	1	18	6	4	133	94	5	16	0	9	4
2	2	1	14	6	4	136	101	2	20	0	4	2
2	1	1	15	4	4	138	100	1	16	0	9	3
7	2	2	19	8	4	129	91	6	26	2	8	5
2	2	2	15	5	2	132	95	1	14	0	13	4
2	2	2	20	3	2	134	86	2	23	0	8	4
4	1	1	15	9	2	136	99	3	17	0	9	3
2	2	1	18	9	2	136	86	0	15	1	19	6
2	1	1	17	2	2	138	102	1	18	0	5	3
5	2	2	30	3	2	129	92	3	25	1	9	4
2	2	2	20	7	5	130	89	3	20	0	16	8
2	2	2	17	3	3	122	94	4	18	1	8	4
5	2	2	22	2	2	127	103	6	23	0	2	2
4	2	2	18	2	2	130	111	4	17	1	1	1
3	2	1	21	10	5	135	85	2	27	0	11	5
4	2	2	19	4	3	132	80	4	19	0	16	8
2	1	1	22	4	2	138	87	1	20	0	13	5
2	2	2	16	2	2	132	111	4	13	0	5	5
2	2	2	14	5	3	128	105	3	19	1	3	2
2	2	2	18	6	4	130	98	3	22	1	7	4
4	3	2	16	2	2	127	103	3	14	0	5	1
2	2	2	13	8	2	134	98	3	21	0	3	1
2	2	1	15	3	3	136	97	0	15	0	8	2
2	1	1	17	3	2	138	105	1	11	0	8	7
5	3	3	26	5	3	126	83	9	27	1	11	4
2	2	2	22	6	3	134	76	3	23	0	16	8
2	1	1	15	3	2	138	99	1	17	0	6	2
2	2	1	14	4	3	136	102	0	13	0	8	4
5	2	2	23	6	2	129	98	5	26	1	4	3
3	2	2	18	3	2	133	96	4	13	0	13	5
5	2	1	15	4	2	133	102	4	16	0	4	3
2	2	2	15	3	3	134	82	2	15	1	16	3
2	2	2	25	2	2	130	98	2	19	2	10	9
1	1	1	16	6	4	140	81	0	13	0	20	3
2	2	2	18	4	3	130	102	3	14	0	10	4
4	1	1	15	6	3	136	100	3	16	0	9	4
2	2	2	27	2	2	132	94	3	19	1	11	8
3	2	2	28	3	2	129	92	2	28	3	6	4
5	2	2	23	4	3	131	95	5	18	0	13	8
2	2	2	16	7	4	130	96	3	20	2	6	6
2	1	1	19	7	4	138	98	1	18	0	10	4
4	2	2	21	4	2	128	102	4	16	2	7	6
2	2	2	16	4	4	134	84	2	14	0	17	4
2	2	2	14	2	2	134	107	2	13	1	5	3
2	2	2	13	4	3	132	90	4	19	0	6	2
2	2	2	22	4	3	126	81	3	15	0	18	4
3	3	1	16	5	3	134	89	4	14	0	16	7
2	2	2	13	4	4	130	91	4	22	0	6	2
2	2	1	13	4	3	136	103	0	17	1	3	1
2	2	2	17	4	4	132	78	3	19	0	16	6
2	2	2	15	2	2	132	112	2	14	1	3	2
4	2	2	22	5	5	132	82	4	16	1	20	9
2	2	2	15	5	4	130	103	2	22	0	1	1
2	2	1	15	3	2	136	111	2	14	0	4	2
2	1	1	18	7	3	138	95	0	21	0	8	7
3	2	2	17	3	2	131	111	4	16	0	2	2
2	2	2	15	3	2	134	105	2	17	0	2	1
4	3	2	17	8	3	131	94	4	22	1	7	2
3	2	2	21	8	3	131	89	2	23	0	8	3
2	2	1	15	2	2	136	108	0	16	1	1	0
2	1	1	15	3	2	138	99	1	17	0	6	2
2	2	1	14	4	3	136	102	0	13	0	8	4
2	2	2	19	3	2	134	95	1	14	1	12	7
2	2	2	18	3	3	132	87	4	18	0	14	7
3	2	2	15	5	3	133	100	4	21	0	2	1
3	2	2	17	3	2	127	105	5	14	0	7	5
3	2	2	24	5	5	129	71	4	20	1	21	8
3	3	1	16	5	3	134	89	4	14	0	16	7
2	2	2	13	4	4	130	91	4	22	0	6	2
3	2	2	14	4	3	133	96	3	13	0	12	5
6	2	1	18	4	2	132	95	5	17	0	7	3
2	2	2	19	5	3	134	81	2	15	0	20	8
4	2	2	16	3	2	128	96	4	15	1	11	4
3	1	1	15	4	3	137	85	2	14	0	16	7
4	2	2	17	2	2	132	112	5	13	0	4	3
3	2	2	20	2	2	125	107	3	19	0	2	0
2	2	2	20	7	2	134	98	0	19	1	9	6
4	2	2	18	12	3	128	93	6	25	0	8	2
2	2	2	17	2	2	130	112	2	15	0	3	2
2	1	1	24	5	2	138	88	1	20	0	15	11
2	2	2	17	6	4	134	83	1	11	1	14	2
2	2	2	15	3	2	130	107	5	15	0	5	2
3	2	2	15	9	7	125	94	5	24	1	6	2
2	2	2	29	4	2	126	84	4	28	0	9	8
4	2	2	15	2	2	130	110	4	14	1	3	1
4	3	2	15	5	3	123	72	4	23	0	16	3
1	1	1	18	5	3	140	103	0	21	0	4	4
3	3	2	15	2	2	132	106	2	12	0	7	3
3	3	2	19	2	2	126	100	3	17	0	4	2
2	1	1	18	4	3	138	102	1	20	0	4	2
2	2	1	17	8	4	136	93	2	19	0	13	9
2	1	1	15	3	3	138	102	0	14	0	7	5
2	2	1	12	5	4	136	99	2	17	0	8	2
2	2	2	24	6	3	134	74	2	18	0	24	7
2	2	2	17	2	2	132	104	2	13	1	5	4
4	2	2	16	3	3	128	109	2	16	1	4	3
2	2	2	16	4	3	130	87	2	25	1	7	4
3	2	2	16	4	3	129	100	2	18	2	5	2
2	2	2	21	3	3	134	86	2	17	0	17	7
2	2	2	21	4	2	134	102	2	21	0	3	2
3	2	2	12	5	5	133	87	2	25	2	5	2
5	2	2	24	3	3	131	99	4	17	0	10	9
2	2	2	19	2	2	128	106	2	12	1	8	6
5	2	2	19	3	2	131	99	6	22	0	3	3
2	2	1	19	2	2	136	106	2	12	0	8	7
3	2	2	15	3	2	127	107	5	15	1	2	1
3	2	2	20	5	2	129	104	3	18	1	7	6
2	2	2	16	2	2	132	109	3	16	0	3	1
2	2	1	16	7	4	136	92	1	27	0	2	0
2	2	2	15	4	2	130	96	2	15	0	10	7
