largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
31	5	3	34	16	3	112	126	34	49	3	3	1
22	5	3	30	11	4	113	118	30	48	0	4	2
28	3	2	39	3	2	118	135	28	34	2	9	5
33	12	3	38	14	3	103	115	47	56	0	3	2
34	2	2	36	3	2	113	132	37	30	0	12	6
45	2	2	43	2	2	106	136	42	40	4	5	5
36	3	2	39	2	2	106	136	39	38	0	4	1
30	4	2	25	6	2	113	146	35	30	1	3	1
34	4	2	36	6	4	115	128	35	38	1	8	5
31	2	2	33	3	2	114	139	32	34	1	3	1
36	3	2	49	2	2	110	122	39	49	0	5	4
45	3	2	39	3	3	103	99	42	26	1	31	7
29	4	3	37	6	4	107	104	34	27	1	29	15
32	4	3	37	7	4	114	129	36	42	0	6	3
29	3	2	32	2	2	117	139	31	35	2	2	1
22	4	2	32	10	4	125	125	26	37	0	12	6
28	6	4	27	4	4	107	138	39	33	0	6	5
31	2	2	30	2	2	114	141	31	29	0	5	1
28	2	2	32	2	2	113	139	30	26	2	10	4
38	2	2	52	2	2	109	119	39	47	2	11	7
27	2	2	40	3	2	120	134	26	40	3	3	1
32	2	1	37	4	2	121	138	32	36	0	5	3
22	3	2	30	5	5	124	126	25	39	0	3	1
35	3	3	25	3	3	110	135	35	32	3	6	2
20	6	5	35	8	3	120	117	30	38	0	14	6
22	4	2	28	5	5	123	136	24	38	3	3	2
35	2	1	53	4	3	118	117	32	40	1	16	8
41	3	2	35	7	2	103	123	42	44	2	5	2
25	5	3	44	3	3	116	124	31	45	1	7	5
37	2	2	52	2	2	108	125	34	51	5	2	2
21	3	2	37	3	2	125	139	24	37	0	4	2
39	2	2	36	5	3	108	123	38	31	4	18	8
37	2	2	40	3	2	112	140	37	40	0	1	1
37	2	2	38	2	2	102	129	39	26	4	16	9
33	3	2	50	2	2	109	113	35	38	0	17	10
34	7	2	47	11	3	110	113	41	60	0	3	3
47	2	2	55	5	3	98	114	48	61	2	2	2
22	4	3	35	6	4	116	109	30	31	0	24	11
35	2	2	33	3	2	112	141	37	31	1	6	5
28	4	2	38	2	2	117	127	28	26	1	19	11
30	1	1	29	3	2	125	137	27	30	1	5	3
45	3	2	38	5	4	103	116	46	32	1	23	11
38	5	4	43	7	2	102	129	46	44	1	6	6
31	2	2	41	3	2	120	129	31	38	1	8	5
29	8	2	29	12	5	112	123	35	38	1	12	5
26	3	3	38	4	2	115	133	27	40	4	3	2
32	4	3	45	5	3	111	126	32	37	5	14	12
36	2	2	50	2	2	113	123	34	48	3	4	2
31	5	3	39	8	6	106	107	38	33	2	30	18
29	4	2	56	4	3	116	115	31	55	2	7	6
20	7	5	30	12	3	111	134	34	44	0	0	0
28	3	2	32	2	2	118	145	29	27	0	5	5
28	3	2	32	5	3	106	129	36	42	2	2	0
31	3	3	41	2	2	108	130	38	41	0	6	4
26	3	2	41	2	2	116	122	29	34	1	15	11
36	4	3	31	5	3	110	126	40	40	1	5	2
38	2	1	51	2	2	115	130	36	48	2	2	1
19	7	4	27	10	3	117	129	31	39	0	4	3
30	3	2	29	2	2	118	146	30	28	2	5	1
44	7	3	41	12	4	91	107	53	51	1	13	8
28	3	2	49	8	2	116	108	31	51	1	12	7
48	3	2	39	9	3	92	122	50	50	3	2	1
24	2	2	36	2	2	125	139	23	31	0	7	4
37	7	6	39	7	3	94	116	51	45	3	11	8
41	9	1	46	12	2	105	121	45	53	1	4	3
31	2	2	45	4	3	118	120	29	50	2	5	3
22	2	1	33	3	2	131	139	22	36	0	3	2
25	2	2	41	3	2	118	129	29	34	1	14	10
25	2	2	30	2	2	126	135	24	35	2	2	1
22	6	2	32	5	3	119	120	29	39	1	9	5
27	5	3	33	7	4	112	127	30	44	4	3	1
37	2	2	29	3	2	114	135	36	25	2	12	4
32	2	1	39	3	2	121	111	31	25	0	26	10
33	2	2	44	5	3	112	108	34	41	2	18	10
33	9	2	30	10	3	107	132	39	38	3	7	2
37	4	2	37	4	2	102	108	34	30	7	25	11
42	2	2	41	2	2	109	138	40	39	2	2	1
41	3	3	36	6	4	104	123	46	45	0	6	2
30	2	2	30	2	2	115	145	32	31	1	2	1
42	2	2	39	5	2	105	137	44	40	0	2	1
19	8	3	30	13	3	119	135	27	41	3	3	2
34	6	3	48	7	3	102	108	39	45	5	18	11
18	3	2	34	3	3	120	133	24	38	1	2	1
25	8	3	27	4	3	111	131	29	35	4	2	0
26	2	1	40	6	4	127	110	25	32	1	26	13
35	4	3	29	8	2	98	138	43	35	2	5	2
31	5	3	34	4	3	112	138	35	38	1	2	1
29	2	2	35	3	2	118	137	29	36	2	4	2
35	2	2	41	2	2	114	134	34	41	1	3	3
25	2	2	33	3	3	126	136	24	37	2	4	4
23	9	2	43	4	4	117	128	30	46	3	5	5
26	1	1	36	2	2	129	143	25	33	0	3	2
22	6	1	32	5	3	127	138	25	33	0	6	5
28	3	3	30	4	3	117	126	32	27	0	16	10
32	2	2	45	2	2	117	130	32	34	0	14	10
30	4	2	43	7	2	111	123	31	43	5	9	4
39	3	2	34	2	2	107	143	38	34	2	2	1
28	2	2	38	2	2	123	137	28	35	1	7	5
