target_pop_size	latelife_pop_change
266143.553314665	9.27464770699251
230541.871743685	4.82380785164669
161058.272605707	3.7724
179358.157490752	3.80247194286479
265269.477663069	3.15246807055496
202188.489139501	8.1648
210853.901753154	4.83315373046424
276565.441605402	5.16532733724471
225439.914832409	8.4447282707865
172311.829983754	8.2783980468622
283373.398685346	9.45011455864377
344631.944264497	6.05674294182586
178859.645848912	3.51197081224664
198416.299552687	8.35854859988563
197482.035884613	3.58613267771378
349659.239135545	8.33272030784847
179604.225986544	7.29401769491834
334365.348211891	4.40279263284606
213081.011156274	7.87442411701638
205572.705174649	4.59420159939158
430852.679188244	9.51920723037356
310087.893465644	8.49856752875079
154797.578172542	4.43698638165478
258660.508117978	8.08035667633749
267341.760470884	9.21257020525221
257935.219191029	6.4267
267627.360191775	6.41514263667912
203671.749009954	7.73292659251617
347298.229035364	5.75564155050278
259798.836443804	8.70526020765804
269334.000927949	9.11550231407236
334968.674605001	4.60342119092448
226294.645001959	9.26314289694435
309951.40325913	1.73574083612053
235795.864176588	8.2701
261052.162251586	3.44938950047952
226139.672906646	8.1562
201831.742197491	8.97201765525153
294781.072945226	1.49419698990848
338533.96763772	9.59007943461554
202141.345539651	5.10818938370394
309704.959318333	8.29819949918803
172625.206541079	4.87179936664222
393235.331075146	3.63441262755487
253216.916784221	6.27115645276707
188337.904983075	8.3996808042394
154499.019231243	5.57083701311875
231365.610256105	7.89075080737265
212549.28798023	3.33345045955514
193710.334352127	8.50673771154776
315134.745294795	2.01065534503011
154420.422819489	5.99323275744187
269708.086104151	9.17274498409895
250920.715946954	3.87704500798532
209367.201560178	7.47335995004643
213910.966789343	6.9086200385002
221527.613189887	7.4296567977017
303161.817980102	3.58022204429381
223966.829380889	7.04287393071643
314550.146708151	5.81873610902455
440500.9626074	3.18497745365942
262557.497913707	7.56088069650607
194616.145439221	7.84813283328439
199590.763637455	3.11686209091157
364566.966069148	4.8419
180658.079351305	3.2196
138284.40447026	8.24960634427811
180014.38325676	6.97971813252407
228794.581205496	9.1524
368426.309390145	5.29917950268892
219729.812087809	2.83339669660587
264335.836683149	7.12836047255766
160269.127506647	9.28748817414438
277195.14899301	7.38325119316276
163560.926704131	8.955
201913.921036267	5.83525490106563
197804.749038564	8.0916
245949.325487621	4.98840681351436
210298.465215337	3.6400340483068
385604.958197754	2.34819258113893
240428.019204025	9.46250000615275
235008.578133139	1.72623721034187
258971.722821766	1.47058530657212
222389.977995804	6.23854738765239
164559.060033216	7.61118619133564
182560.235915167	2.4775
335565.256022726	7.52999172570037
200192.003317645	1.8893
434796.792768487	4.87089219958123
180887.959636391	4.67341938660439
265435.727243456	3.57671271134127
222410.549919481	5.63446503714514
193349.097394092	5.26920622098469
253354.801381578	4.46630961911836
289261.407434459	3.79604734639894
216272.201204395	8.5522002842708
350848.541449963	6.59366337924414
213678.619064815	9.50998574703951
198744.772019035	1.59636103459512
193494.551003442	7.96387308372652
249048.063733016	7.90264683303816
188237.012705894	8.05822530642292
233266.205727233	3.98585146306502
211110.753476561	4.8943
186008.168929034	9.29066836589972
245168.938168036	6.53995837537999
240494.404335348	6.80625928032013
295862.955999968	9.04922377077585
382189.205988898	2.6287
279734.044575031	9.87664170888974
313489.467898425	4.30842595894383
279575.839992027	8.43414612828219
288561.423692659	3.81048010816519
252528.507120989	4.7391
202143.215078197	9.93550719818383
273770.716770726	7.4576
249706.029978734	8.1241
