1	Pair11	91	1000	97331	91000	3397	0.0373296703296703	0.0373
2	Pair13	102	1000	108104	102000	25290	0.247941176470588	0.2479
3	Pair21	89	1000	90960	89000	3976	0.0446741573033708	0.0447
4	Pair24	238	1000	356897	238000	184013	0.773163865546219	0.7732
5	Pair25	125	1000	137589	125000	4916	0.039328	0.0393
6	Pair28	77	1000	83037	77000	4628	0.0601038961038961	0.0601
7	Pair31	131	1000	139249	131000	7924	0.0604885496183206	0.0605
8	Pair38	114	1000	122223	114000	23735	0.208201754385965	0.2082
9	Pair40	187	1000	208146	187000	10932	0.0584598930481283	0.0585
10	Pair41	237	1000	302644	237000	127877	0.539565400843882	0.5396
