largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
19	3	2	56	5	3	125	113	20	59	3	3	3
28	11	2	32	8	3	114	134	37	38	1	5	3
37	7	2	39	11	9	107	111	43	56	0	6	2
26	3	2	37	4	3	120	127	26	29	0	15	3
22	3	2	33	6	4	124	126	24	42	1	5	1
25	11	8	66	12	4	101	93	41	65	0	13	5
34	2	1	40	3	2	119	128	32	36	1	12	8
33	2	2	39	5	5	116	122	31	34	1	14	8
24	3	2	32	10	3	116	111	27	48	2	9	3
37	3	2	40	2	2	109	135	39	41	1	3	2
26	2	2	30	2	2	119	147	26	30	1	2	0
39	5	3	51	3	2	102	121	39	53	3	2	1
45	6	2	47	6	6	92	107	48	53	1	9	2
35	3	2	30	10	6	107	119	36	43	4	9	6
36	12	5	44	14	10	85	93	55	62	2	16	6
24	2	2	22	4	3	121	144	25	25	1	7	1
21	6	2	26	7	3	118	137	28	33	0	3	1
23	4	2	30	6	4	118	139	28	34	2	5	3
28	2	2	31	2	2	119	132	27	30	4	7	6
33	2	2	47	3	3	110	116	33	55	2	2	2
20	3	3	31	7	6	114	121	29	42	1	11	3
33	2	2	33	4	4	112	136	34	31	2	9	5
25	3	2	28	2	2	119	131	27	27	2	10	4
34	4	2	43	14	4	105	113	36	56	2	5	2
26	3	2	25	9	4	120	128	27	40	1	4	1
30	2	2	36	16	4	111	111	31	37	1	23	11
28	7	3	15	14	5	115	134	35	28	1	10	3
31	4	3	37	3	3	113	130	36	23	1	20	14
20	2	2	32	4	4	127	128	20	42	2	4	3
37	4	2	53	4	2	110	124	40	49	0	6	6
41	5	3	43	6	3	102	113	44	55	3	2	2
25	3	3	41	25	3	118	99	30	56	1	18	10
25	2	2	39	4	3	126	120	26	44	0	7	4
25	2	2	38	2	2	118	139	27	31	1	10	8
26	2	2	30	3	2	121	138	23	30	3	5	1
36	4	3	37	12	5	100	110	45	45	1	17	7
28	10	4	35	10	5	107	118	40	44	2	11	5
31	2	2	40	2	2	106	135	31	36	8	7	7
45	9	3	31	7	6	91	116	53	48	3	6	3
18	4	2	25	9	4	123	132	22	39	1	3	1
34	3	2	42	3	2	106	134	36	41	1	4	2
29	2	2	34	5	3	118	133	30	37	1	6	3
49	2	2	48	4	2	102	119	47	45	2	8	6
42	2	2	55	3	2	103	117	42	52	0	8	6
22	7	3	19	15	9	117	109	30	44	2	15	8
26	2	2	30	2	2	119	147	26	30	1	2	0
40	5	2	37	7	3	108	109	43	29	1	30	13
32	3	2	27	6	3	110	122	32	38	5	4	0
26	3	2	38	6	5	108	106	34	41	0	18	3
26	2	2	24	3	3	117	121	30	20	1	19	5
29	4	2	26	9	3	116	145	33	30	1	6	3
25	5	3	28	24	3	112	112	33	44	0	14	8
21	4	3	31	8	7	121	112	27	40	0	15	4
35	3	2	22	3	3	107	131	37	20	2	17	3
37	1	1	29	2	2	118	146	26	24	1	0	0
30	5	4	42	7	3	104	105	40	39	1	23	12
35	2	2	40	2	2	110	141	35	35	1	5	5
49	2	2	57	6	3	98	109	50	52	0	13	6
27	2	1	36	3	2	126	134	27	29	0	11	6
25	4	3	28	8	5	109	104	35	33	1	27	8
31	3	2	35	6	5	117	108	34	30	0	31	15
37	2	2	42	4	3	114	115	37	33	0	20	9
38	4	3	57	4	3	108	98	42	68	1	5	2
33	7	5	38	20	13	99	86	45	74	3	12	5
35	3	2	39	3	3	109	120	38	37	2	13	10
32	3	2	32	14	12	110	86	36	30	2	43	12
46	4	3	35	13	6	100	115	46	45	3	12	7
14	5	4	43	7	7	104	89	34	61	0	12	7
25	2	2	31	8	2	122	128	26	42	1	4	1
34	3	3	49	11	10	110	83	38	55	0	26	12
46	2	2	31	4	3	99	130	45	32	3	9	6
23	3	2	37	4	3	119	115	26	34	2	19	9
44	1	1	46	3	3	111	120	41	47	1	8	3
27	8	2	28	6	3	116	131	34	36	1	1	1
26	4	2	30	8	4	119	96	28	28	2	33	12
20	3	2	27	7	3	126	138	23	32	1	7	3
24	7	2	25	18	18	108	91	33	65	3	18	11
26	2	2	35	6	2	119	132	29	43	1	1	0
24	3	2	24	15	9	122	129	27	39	1	10	9
35	2	2	46	3	3	108	121	39	34	0	21	14
28	2	2	29	2	2	121	148	29	25	1	6	4
26	10	2	34	14	9	111	97	34	36	4	33	12
26	3	3	43	3	2	115	125	30	39	1	9	6
19	2	2	32	4	3	126	129	21	40	2	5	2
21	5	4	19	18	9	116	113	33	43	0	16	5
45	8	3	63	7	5	93	94	54	68	2	10	4
43	2	2	37	5	5	98	117	40	50	8	2	1
22	6	1	36	14	2	127	127	24	42	1	9	5
32	4	4	19	8	8	109	90	36	16	1	48	6
22	4	2	22	7	3	117	131	25	25	2	14	3
29	5	4	38	16	2	111	119	34	41	1	15	9
32	3	2	31	21	3	112	115	33	39	3	18	13
30	2	2	38	13	4	121	102	29	25	0	39	14
39	3	3	36	3	3	110	95	40	13	0	46	8
