HSC_pop_size	HSCT_bottleneck	number_drivers_per_year	gamma_shape	gamma_rate	dpcpd
241661	1452	212.455479415848	1.43363028790109	41.3518003333908	2.40862119505738e-06
167693	36503	238.078427571695	1.58728249984231	41.5294948599681	3.88966542777567e-06
274890	1484	218.619378594924	0.148270099154079	24.932486990091	2.17889774684393e-06
287540	40245	135.027522844165	0.548977034957874	29.5532361992548	1.28656332597599e-06
237789	40384	227.197160653919	0.349384428111102	30.6296160417107	2.61769036580455e-06
237268	18069	187.553316529384	0.365098340470273	27.0698446180584	2.16567216320882e-06
233202	35709	202.851184860799	0.503052122361507	28.4151990887914	2.38315567984625e-06
234726	1833	228.513443000035	0.205328080320343	29.3361736605086	2.66721295211164e-06
237723	20593	151.466768366907	0.200316757920714	26.6887992770495	1.74563440466664e-06
239925	3040	141.347279458054	2.12068409601094	35.5422360346327	1.61405781153704e-06
179072	3516	192.770584132035	0.786968321908	33.282153204614	2.94930858349217e-06
350137	10319	148.571650343713	0.854333686276803	30.3873053561246	1.16253242982043e-06
230471	973	223.109929716381	1.42475307308211	43.6148613495791	2.65222124004644e-06
244596	15939	215.78778285815	0.632300729310202	31.959927258764	2.41704445326507e-06
170148	7734	158.894558578336	0.280484995066045	22.7461470277133	2.55852291974555e-06
227454	12524	209.640133376238	0.509888390422194	28.8710580551158	2.52515466774782e-06
142240	13228	174.214721354876	0.3128393543695	27.5113955400471	3.35560043905874e-06
185004	640	161.209341315686	0.41188689123489	29.5727562573252	2.38735069653712e-06
213412	18798	285.48374073146	0.693289497235107	36.050137636809	3.66496370813596e-06
231558	1837	189.08997219499	1.08433645976129	38.8313989738188	2.23725683561975e-06
227280	26037	322.259762459636	0.250557436275272	36.0651154669324	3.88465090986239e-06
169315	4808	206.553876013713	0.968523081737535	37.1200903792378	3.34229708043916e-06
182854	4153	152.48439677007	0.917489906597101	30.403550662037	2.2846941855411e-06
183093	5293	231.294227207829	0.749490692048287	34.0256978814341	3.46098875581275e-06
267868	9404	143.017438956465	1.48265439861188	36.1161051171468	1.46276748204611e-06
235086	1518	154.452023089813	0.333938811190595	25.527945771678	1.80000607285556e-06
154612	12257	262.714649095298	0.216905025948506	31.5210009118052	4.65530593941561e-06
310869	6053	261.129666348562	0.184532700020792	34.9478038673739	2.30136727502812e-06
195072	6165	212.705299809576	0.526367302194366	31.8912317601366	2.98738028037664e-06
224076	24665	142.968334389879	0.795832757891599	33.7365184030544	1.74804114149479e-06
282268	11238	248.401599601797	0.366176653290703	32.2581442089908	2.4110148074743e-06
163116	5587	197.514989792854	1.6943070219265	41.0942543585602	3.31749772147788e-06
187350	8778	206.909665753732	0.882808706741669	31.5829939769539	3.02575818834036e-06
225071	35678	147.504989872735	1.14608447983202	32.224519756399	1.79553678583781e-06
196926	36765	190.640397266631	0.54225459194754	30.7116458507978	2.65227780112703e-06
284034	10897	178.819648362286	0.563132693810385	28.9479943935376	1.72485281631136e-06
206069	935	203.399884544291	1.29714604454993	35.6055259174925	2.70423963650812e-06
244867	1302	200.924701929826	0.677992623904905	25.6523635489333	2.24807195507839e-06
230636	1959	160.89772060515	0.652591024442325	26.8163945902899	1.91130470911229e-06
266118	5645	208.614874153554	0.345755341034158	28.7999775801869	2.14772244049894e-06
268154	7580	218.585535632005	0.168800164435615	29.8011232195105	2.23328565370487e-06
233830	4527	192.340726075885	3.87982977175851	54.2304336126868	2.25360686549454e-06
