largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
20	3	2	154	2	2	33	1	24	120	0	35	35
24	3	2	68	16	6	31	42	27	64	0	39	33
26	2	2	127	11	2	30	19	27	72	0	64	59
34	2	1	98	2	2	26	53	32	73	2	28	26
39	3	2	117	4	2	18	34	40	73	1	44	43
17	2	2	77	8	3	35	67	19	44	0	43	38
24	5	3	132	15	6	28	8	28	124	2	24	24
26	2	1	120	2	2	34	35	25	70	0	49	49
35	2	1	71	11	4	25	59	31	52	4	35	25
18	2	2	111	11	7	38	16	19	107	1	30	23
38	3	1	107	6	4	21	35	36	88	3	30	30
26	2	1	101	3	2	34	41	23	74	3	32	31
39	2	2	92	6	2	19	45	38	52	2	48	34
31	3	1	79	15	5	28	34	31	38	0	65	43
26	3	2	117	6	4	31	25	28	75	0	51	44
21	3	1	117	8	5	38	25	22	98	0	30	28
39	2	1	101	3	2	21	49	38	71	1	33	31
34	2	2	92	10	3	22	52	35	56	1	43	37
29	2	2	123	6	2	29	24	29	86	1	43	41
31	3	2	94	6	6	24	39	33	66	1	47	45
31	2	1	148	1	1	29	13	31	104	0	42	42
32	2	1	139	2	1	28	20	31	107	0	30	30
44	2	1	110	9	3	16	33	42	80	2	38	30
16	3	3	98	8	6	31	39	22	76	1	35	33
25	2	2	130	7	1	33	24	24	91	1	43	41
34	2	1	109	4	3	26	35	33	57	1	58	52
19	1	1	143	2	1	43	16	18	107	0	34	34
42	1	1	113	3	2	20	35	40	72	1	42	38
20	2	2	131	5	2	36	23	20	79	0	54	53
17	6	3	99	4	3	29	41	24	66	2	44	42
20	1	1	100	2	2	42	53	19	66	0	36	36
28	4	2	79	16	5	26	36	31	38	1	67	45
23	4	3	111	10	7	25	22	30	87	1	41	39
32	4	3	99	10	4	21	38	37	71	0	39	34
20	5	5	103	25	5	24	19	31	87	1	48	42
19	2	2	108	14	4	39	25	19	75	0	51	45
24	4	2	152	4	2	26	3	29	117	0	37	37
27	5	3	145	5	1	23	11	33	115	1	33	32
26	2	2	84	4	3	32	56	26	36	1	55	48
20	4	2	79	16	4	34	48	22	40	2	61	49
33	3	2	124	3	2	22	28	35	100	1	28	28
22	4	3	120	3	3	30	23	27	74	1	54	49
17	5	2	103	28	4	32	21	24	82	0	51	40
15	2	2	115	3	2	41	41	17	77	0	37	35
23	2	1	67	13	3	37	63	23	34	0	49	35
27	1	1	145	4	1	35	12	25	126	1	21	21
18	4	4	128	6	2	36	21	22	90	1	45	42
20	3	3	87	10	4	32	41	25	64	0	44	35
39	3	1	108	6	2	20	37	39	86	1	29	26
35	1	1	87	9	5	27	41	34	49	0	55	41
33	2	2	82	11	6	25	43	33	57	1	49	35
30	2	1	142	3	1	30	16	29	101	1	40	40
28	3	2	120	3	2	27	28	31	90	0	34	33
30	3	1	139	2	1	29	20	31	99	0	39	39
32	4	3	100	5	5	17	40	37	60	2	53	49
23	4	3	102	6	4	30	39	27	74	1	40	39
42	3	1	126	23	2	17	10	43	108	0	40	36
28	2	2	159	1	1	28	2	28	123	2	34	34
25	2	2	140	8	1	31	13	27	109	0	35	32
31	3	1	92	8	3	28	50	31	62	1	38	33
40	3	3	94	13	8	12	32	43	71	2	45	42
40	2	1	110	2	2	20	45	39	73	1	37	35
29	2	2	157	1	1	27	4	29	128	1	28	28
42	2	1	88	15	6	18	39	41	64	1	45	33
22	2	1	124	6	3	38	28	22	81	0	49	48
31	1	1	72	19	3	31	54	29	37	0	54	35
30	3	3	143	6	2	26	10	31	117	2	30	27
14	4	3	70	28	4	33	44	18	72	4	34	32
28	2	2	94	2	2	26	57	30	54	0	39	38
26	1	1	85	5	2	36	47	24	30	1	64	50
31	4	2	107	4	3	23	43	35	64	0	46	45
15	2	2	112	4	2	43	41	16	64	0	50	48
23	2	2	87	2	2	31	62	25	38	1	52	47
35	3	1	83	35	5	24	28	34	78	1	48	40
27	3	2	143	3	3	26	10	31	115	0	31	31
26	5	2	101	8	4	27	40	31	71	0	41	33
29	3	2	79	11	8	26	35	28	55	3	55	36
18	3	3	117	4	1	36	40	20	87	1	32	32
28	1	1	100	3	3	34	45	27	52	0	49	43
36	3	1	101	5	4	23	34	36	83	1	32	26
24	4	2	104	3	2	28	40	26	81	2	31	28
32	2	2	111	3	3	26	42	33	81	0	33	33
38	1	1	85	3	3	24	51	36	42	1	50	40
11	4	4	113	29	2	34	15	19	84	2	57	49
17	3	3	106	9	2	37	42	20	83	1	31	30
36	3	2	93	7	3	21	33	37	63	1	45	35
31	1	1	132	3	3	31	20	29	97	1	40	40
30	2	2	97	5	4	26	46	31	53	0	47	42
27	3	2	110	4	3	30	33	28	60	1	59	53
35	2	1	141	2	2	25	16	33	105	2	35	35
37	2	1	139	2	1	23	20	36	101	0	36	36
40	1	1	85	3	2	22	63	35	49	3	37	34
23	5	2	135	5	2	32	19	27	103	0	35	34
27	3	1	72	19	6	32	55	26	61	2	30	21
41	3	1	101	11	5	18	24	41	57	1	62	44
30	2	2	76	15	3	28	59	31	36	0	52	36
13	4	2	92	16	2	41	49	17	60	0	46	46
17	2	1	100	3	2	43	50	16	79	1	26	24
24	2	2	144	3	2	34	10	25	111	0	36	36
30	4	2	100	9	9	22	36	34	62	1	52	42
36	1	1	112	2	2	26	45	34	64	1	43	42
20	5	2	131	5	2	35	21	24	95	0	39	37
19	3	3	105	5	4	35	31	22	65	0	52	47
17	3	2	117	3	2	40	29	19	78	0	45	40
26	2	2	104	6	3	30	32	25	60	2	57	53
18	2	1	133	2	1	42	26	18	81	0	51	51
34	5	3	105	15	3	18	32	39	80	1	38	30
20	5	2	145	2	1	35	14	23	103	1	41	41
15	3	3	118	18	3	31	18	23	107	0	30	27
22	3	1	121	9	5	37	24	22	96	1	37	37
24	3	1	101	9	4	35	43	25	62	0	47	42
31	1	1	122	3	2	31	32	30	71	0	51	47
19	2	2	92	5	3	39	51	20	49	0	51	48
26	2	2	102	10	4	30	36	26	87	1	29	21
40	1	1	90	21	2	22	46	38	49	0	59	42
21	2	1	124	4	1	39	33	21	96	0	30	30
25	2	1	68	15	4	35	48	25	28	0	61	41
25	2	1	66	11	4	35	50	24	28	1	62	44
21	2	1	95	8	3	39	50	20	48	1	57	51
25	2	1	108	2	2	35	49	25	65	0	43	41
26	2	2	114	2	2	32	37	25	83	1	31	29
24	2	2	85	4	3	34	50	24	38	1	60	53
35	2	2	94	16	4	23	42	36	53	0	57	45
33	3	2	131	2	2	22	22	34	99	1	32	30
33	4	2	91	12	2	23	50	35	63	1	35	30
40	3	2	103	11	6	17	28	39	76	3	47	40
25	1	1	62	4	4	37	62	22	22	2	55	37
37	2	1	116	6	2	23	37	37	88	0	31	29
20	2	1	156	1	1	40	5	19	126	1	29	29
33	4	1	119	2	2	25	36	34	90	1	30	30
22	2	2	85	6	6	36	40	23	48	0	55	39
36	1	1	86	17	9	26	38	34	54	1	59	44
15	5	2	71	14	3	38	46	18	37	2	64	40
12	2	2	134	3	2	42	20	15	91	0	45	45
21	2	1	101	7	2	39	49	21	76	0	30	29
35	2	2	137	6	3	23	12	33	94	0	49	47
36	2	1	94	4	2	24	51	36	59	0	42	39
10	3	2	135	7	3	41	14	15	105	0	38	37
32	2	1	120	4	2	28	29	29	56	2	66	62
26	4	1	68	7	5	32	48	27	39	1	55	36
25	4	2	80	6	6	27	62	28	58	2	34	30
13	3	3	123	10	3	38	19	18	100	1	34	30
37	2	1	108	2	2	23	49	36	80	1	28	28
24	3	3	101	4	4	30	39	28	69	0	42	40
43	1	1	92	8	3	19	41	40	54	1	47	39
16	3	3	125	9	3	33	22	22	78	0	55	52
38	2	2	99	4	3	20	40	37	57	1	50	42
27	2	1	140	4	2	33	13	27	101	0	43	43
26	1	1	143	3	1	36	15	24	103	0	39	36
31	1	1	156	2	1	31	3	29	127	1	27	27
47	1	1	134	6	4	15	17	43	101	3	40	40
33	2	2	126	3	3	25	27	34	82	0	48	47
32	3	1	118	3	2	27	34	30	58	2	60	56
32	2	2	148	2	1	24	11	33	115	0	32	32
34	2	2	105	9	2	24	43	35	64	0	43	40
28	3	2	56	28	6	29	47	27	56	3	42	30
13	2	2	129	3	2	45	25	14	90	0	42	41
15	2	2	108	4	3	43	44	16	74	0	36	35
32	1	1	80	7	3	30	60	29	67	2	23	20
32	2	1	88	5	4	28	50	29	49	3	47	40
27	3	2	151	2	1	28	8	28	76	1	72	37
31	2	2	122	4	3	25	28	31	100	2	26	25
33	1	1	139	2	1	29	20	28	80	4	59	59
23	3	1	99	4	2	36	48	23	75	1	28	26
26	2	2	73	4	4	32	62	26	38	1	46	37
28	3	2	103	8	6	29	36	30	52	0	61	51
32	5	3	97	15	5	20	26	37	63	1	58	48
38	1	1	138	3	2	24	18	36	106	1	34	34
20	4	2	112	8	7	36	27	22	91	0	38	33
36	3	1	88	15	3	23	43	37	55	0	52	44
37	2	1	108	8	3	23	36	35	91	1	26	23
18	3	2	121	5	2	37	27	20	96	0	30	30
23	2	1	102	9	7	37	32	22	69	1	50	46
15	3	3	120	7	2	37	28	20	86	0	42	40
24	3	2	139	2	2	33	18	26	85	0	54	54
29	2	1	116	3	1	31	42	29	60	0	52	52
28	3	2	87	3	3	29	54	30	48	0	44	37
13	3	2	117	9	5	42	17	16	85	0	50	48
21	2	2	84	13	3	37	44	22	50	0	47	38
