Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project	ID	peak_vaf	SNV_burden_u	SNV_burden	germline_SNV_sensitivity	germline_INDEL_sensitivity	somatic_SNV_sensitivity
PD45804b	D28	2	F6	PD45804b_lo0142	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	G6	PD45804b_lo0143	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	H6	PD45804b_lo0144	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	A7	PD45804b_lo0145	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	B7	PD45804b_lo0146	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	C7	PD45804b_lo0147	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	D7	PD45804b_lo0148	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	E7	PD45804b_lo0149	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	F7	PD45804b_lo0150	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	G7	PD45804b_lo0151	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	H7	PD45804b_lo0152	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	A8	PD45804b_lo0153	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	B8	PD45804b_lo0154	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	C8	PD45804b_lo0155	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	D8	PD45804b_lo0156	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	E8	PD45804b_lo0157	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	F8	PD45804b_lo0158	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
