Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project	ID	peak_vaf	SNV_burden_u	SNV_burden	germline_SNV_sensitivity	germline_INDEL_sensitivity	somatic_SNV_sensitivity
PD45804b	D28	2	G8	PD45804b_lo0159	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	H8	PD45804b_lo0160	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	A9	PD45804b_lo0161	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	B9	PD45804b_lo0162	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	C9	PD45804b_lo0163	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	D9	PD45804b_lo0164	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	E9	PD45804b_lo0165	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	F9	PD45804b_lo0166	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	G9	PD45804b_lo0167	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	H9	PD45804b_lo0168	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	A10	PD45804b_lo0169	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	B10	PD45804b_lo0170	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	C10	PD45804b_lo0171	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	D10	PD45804b_lo0172	CFU-GEMM	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	E10	PD45804b_lo0173	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	F10	PD45804b_lo0174	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
PD45804b	D28	2	G10	PD45804b_lo0175	BFU-E	28	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair28	NA	NA	NA	NA	NA	NA
