1	Pair11	125	1000	169874	134626	20769	0.154271834563903	0.1543
2	Pair13	82	1000	205452	201895	50909	0.252155823571659	0.2522
3	Pair21	144	1000	201782	157195	13845	0.0880753204618468	0.0881
4	Pair24	170	1000	340070	336822	252270	0.748971266722482	0.749
5	Pair25	75	1000	105718	93666	3928	0.0419362415390857	0.0419
6	Pair28	44	1000	66832	57770	3429	0.0593560671628873	0.0594
7	Pair31	67	1000	96971	83508	2528	0.0302725487378455	0.0303
8	Pair38	89	1000	176641	173732	43672	0.251375682085051	0.2514
9	Pair40	121	1000	264829	261295	42133	0.161246866568438	0.1612
10	Pair41	129	1000	253844	252646	136886	0.541809488375039	0.5418
