largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
22	5	2	48	7	7	26	54	32	44	0	17	16
22	8	3	50	16	6	32	47	31	65	0	8	5
18	7	3	18	14	11	34	46	24	15	3	44	12
21	9	1	34	7	4	37	76	24	34	3	10	10
26	2	1	46	7	2	39	68	25	40	0	11	10
19	7	2	32	18	3	35	65	23	41	1	9	4
21	3	1	35	2	2	43	82	22	31	0	5	3
33	2	1	45	6	4	32	68	31	38	2	15	13
23	3	1	37	10	2	41	70	20	35	4	12	9
10	8	7	16	15	12	42	72	21	33	1	11	5
23	4	2	51	9	1	36	65	26	54	1	3	3
14	9	3	20	9	6	41	75	20	30	2	10	6
23	10	3	29	22	9	28	63	30	26	3	29	15
15	3	2	35	6	6	45	67	16	42	2	7	7
15	2	2	18	10	5	44	71	16	22	0	18	7
22	2	2	29	3	3	41	84	22	24	0	8	4
10	8	2	19	16	10	45	59	15	42	1	11	4
21	3	1	24	5	3	43	87	21	17	1	10	5
19	6	2	32	12	3	40	70	22	33	2	13	8
25	4	2	49	6	3	32	59	25	46	4	12	11
13	9	5	21	12	6	35	80	25	32	2	4	4
10	9	3	19	14	5	36	66	23	39	1	9	3
13	2	2	18	6	6	48	71	13	28	1	13	5
20	6	2	38	5	3	39	70	23	34	2	14	10
23	2	2	29	6	4	40	67	23	34	1	12	5
29	3	2	34	4	4	33	66	30	17	1	23	11
21	3	2	21	5	3	37	84	23	20	2	10	5
20	3	2	34	7	3	36	73	23	27	1	13	10
16	7	5	27	15	8	39	71	24	40	0	7	6
12	5	3	16	8	6	43	85	19	26	0	5	2
12	4	3	17	8	6	46	82	14	32	3	4	1
22	1	1	21	6	2	45	92	19	20	1	6	2
25	4	2	49	9	5	34	56	27	45	2	16	15
14	4	3	22	10	6	36	72	19	20	3	22	9
18	3	2	34	5	4	44	74	19	41	1	5	4
14	3	2	24	8	5	42	84	17	28	0	4	3
12	4	3	18	11	5	46	87	15	27	1	5	4
14	3	2	16	9	4	46	84	15	30	1	1	1
17	6	2	33	16	3	40	67	21	32	0	15	9
13	6	2	15	10	5	42	78	17	27	2	7	4
12	10	2	18	15	6	43	82	19	33	2	5	3
28	3	1	45	3	3	36	68	24	40	3	8	7
19	6	2	23	13	2	40	83	21	28	1	6	3
19	3	2	21	5	3	41	90	18	24	3	5	4
29	1	1	30	3	2	38	82	25	26	3	10	6
22	9	1	44	10	2	36	65	26	48	2	6	6
19	1	1	36	3	3	48	75	18	36	0	3	3
16	3	3	27	7	6	43	85	16	30	3	6	5
18	5	3	28	7	6	39	73	22	41	2	2	1
16	4	2	15	6	5	39	79	20	19	0	13	5
19	2	1	27	6	4	46	78	18	33	1	4	2
27	2	2	42	4	4	36	71	25	33	2	15	11
12	11	8	30	12	9	36	59	22	44	6	12	9
19	6	5	23	16	13	20	38	39	57	0	19	6
31	7	3	48	6	5	24	60	36	53	2	3	3
13	8	2	27	20	4	44	65	16	39	0	2	1
25	9	5	43	18	12	23	44	33	41	4	30	12
18	4	3	23	6	4	40	76	20	22	2	11	5
14	5	3	24	10	10	45	63	17	29	2	17	6
